    EPSACU   Rho_for_mod     Rho_deb     Rho_tot
  0.0000E+00  0.6000E+11  0.1000E+12  0.1600E+12
  0.2000E-02  0.1470E+12  0.1001E+12  0.2471E+12
  0.4000E-02  0.3732E+12  0.1006E+12  0.4738E+12
  0.6000E-02  0.7465E+12  0.1026E+12  0.8490E+12
  0.8000E-02  0.1233E+13  0.1068E+12  0.1340E+13
  0.1000E-01  0.1791E+13  0.1144E+12  0.1905E+13
  0.1200E-01  0.2385E+13  0.1258E+12  0.2511E+13
  0.1400E-01  0.2989E+13  0.1418E+12  0.3131E+13
  0.1600E-01  0.3585E+13  0.1631E+12  0.3748E+13
  0.1800E-01  0.4162E+13  0.1903E+12  0.4352E+13
  0.2000E-01  0.4713E+13  0.2242E+12  0.4937E+13
  0.2200E-01  0.5234E+13  0.2655E+12  0.5499E+13
  0.2400E-01  0.5724E+13  0.3149E+12  0.6039E+13
  0.2600E-01  0.6183E+13  0.3730E+12  0.6556E+13
  0.2800E-01  0.6612E+13  0.4406E+12  0.7053E+13
  0.3000E-01  0.7013E+13  0.5182E+12  0.7532E+13
  0.3200E-01  0.7388E+13  0.6066E+12  0.7994E+13
  0.3400E-01  0.7737E+13  0.7062E+12  0.8444E+13
  0.3600E-01  0.8064E+13  0.8174E+12  0.8881E+13
  0.3800E-01  0.8369E+13  0.9409E+12  0.9310E+13
  0.4000E-01  0.8655E+13  0.1077E+13  0.9731E+13
  0.4200E-01  0.8922E+13  0.1226E+13  0.1015E+14
  0.4400E-01  0.9174E+13  0.1388E+13  0.1056E+14
  0.4600E-01  0.9410E+13  0.1564E+13  0.1097E+14
  0.4800E-01  0.9633E+13  0.1755E+13  0.1139E+14
  0.5000E-01  0.9842E+13  0.1959E+13  0.1180E+14
  0.5200E-01  0.1004E+14  0.2178E+13  0.1222E+14
  0.5400E-01  0.1023E+14  0.2411E+13  0.1264E+14
  0.5600E-01  0.1040E+14  0.2660E+13  0.1306E+14
  0.5800E-01  0.1057E+14  0.2923E+13  0.1350E+14
  0.6000E-01  0.1073E+14  0.3203E+13  0.1393E+14
  0.6200E-01  0.1088E+14  0.3497E+13  0.1438E+14
  0.6400E-01  0.1103E+14  0.3807E+13  0.1483E+14
  0.6600E-01  0.1117E+14  0.4133E+13  0.1530E+14
  0.6800E-01  0.1130E+14  0.4475E+13  0.1577E+14
  0.7000E-01  0.1142E+14  0.4832E+13  0.1625E+14
  0.7200E-01  0.1154E+14  0.5206E+13  0.1675E+14
  0.7400E-01  0.1166E+14  0.5596E+13  0.1725E+14
  0.7600E-01  0.1177E+14  0.6002E+13  0.1777E+14
  0.7800E-01  0.1187E+14  0.6424E+13  0.1830E+14
  0.8000E-01  0.1197E+14  0.6863E+13  0.1884E+14
  0.8200E-01  0.1207E+14  0.7318E+13  0.1939E+14
  0.8400E-01  0.1216E+14  0.7790E+13  0.1995E+14
  0.8600E-01  0.1225E+14  0.8279E+13  0.2053E+14
  0.8800E-01  0.1234E+14  0.8784E+13  0.2112E+14
  0.9000E-01  0.1242E+14  0.9305E+13  0.2173E+14
  0.9200E-01  0.1251E+14  0.9844E+13  0.2235E+14
  0.9400E-01  0.1258E+14  0.1040E+14  0.2298E+14
  0.9600E-01  0.1266E+14  0.1097E+14  0.2363E+14
  0.9800E-01  0.1273E+14  0.1156E+14  0.2429E+14
  0.1000E+00  0.1280E+14  0.1217E+14  0.2497E+14
  0.1020E+00  0.1287E+14  0.1279E+14  0.2566E+14
  0.1040E+00  0.1294E+14  0.1343E+14  0.2637E+14
  0.1060E+00  0.1300E+14  0.1408E+14  0.2709E+14
  0.1080E+00  0.1306E+14  0.1476E+14  0.2782E+14
  0.1100E+00  0.1312E+14  0.1545E+14  0.2857E+14
  0.1120E+00  0.1318E+14  0.1616E+14  0.2934E+14
  0.1140E+00  0.1324E+14  0.1688E+14  0.3012E+14
  0.1160E+00  0.1330E+14  0.1762E+14  0.3092E+14
  0.1180E+00  0.1335E+14  0.1838E+14  0.3173E+14
  0.1200E+00  0.1340E+14  0.1915E+14  0.3256E+14
  0.1220E+00  0.1346E+14  0.1995E+14  0.3340E+14
  0.1240E+00  0.1351E+14  0.2076E+14  0.3426E+14
  0.1260E+00  0.1355E+14  0.2158E+14  0.3514E+14
  0.1280E+00  0.1360E+14  0.2243E+14  0.3603E+14
  0.1300E+00  0.1365E+14  0.2329E+14  0.3694E+14
  0.1320E+00  0.1369E+14  0.2416E+14  0.3786E+14
  0.1340E+00  0.1374E+14  0.2506E+14  0.3880E+14
  0.1360E+00  0.1378E+14  0.2597E+14  0.3975E+14
  0.1380E+00  0.1382E+14  0.2690E+14  0.4072E+14
  0.1400E+00  0.1387E+14  0.2785E+14  0.4171E+14
  0.1420E+00  0.1391E+14  0.2881E+14  0.4272E+14
  0.1440E+00  0.1395E+14  0.2979E+14  0.4373E+14
  0.1460E+00  0.1399E+14  0.3078E+14  0.4477E+14
  0.1480E+00  0.1402E+14  0.3180E+14  0.4582E+14
