   STRAIN    AVACS    MODE1    MODE2
   0.0750   3.2627   0.4707   0.5293
   0.0760   3.2608   0.4709   0.5291
   0.0770   3.2605   0.4710   0.5290
   0.0780   3.2609   0.4713   0.5287
   0.0790   3.2598   0.4715   0.5285
   0.0800   3.2564   0.4717   0.5283
   0.0810   3.2528   0.4719   0.5281
   0.0820   3.2500   0.4721   0.5279
   0.0830   3.2483   0.4723   0.5277
   0.0840   3.2435   0.4726   0.5274
   0.0850   3.2409   0.4728   0.5272
   0.0860   3.2422   0.4730   0.5270
   0.0870   3.2402   0.4732   0.5268
   0.0880   3.2408   0.4734   0.5266
   0.0890   3.2426   0.4736   0.5264
   0.0900   3.2434   0.4738   0.5262
   0.0910   3.2442   0.4740   0.5260
   0.0920   3.2378   0.4743   0.5257
   0.0930   3.2411   0.4745   0.5255
   0.0940   3.2405   0.4747   0.5253
   0.0950   3.2382   0.4749   0.5251
   0.0960   3.2356   0.4751   0.5249
   0.0970   3.2355   0.4753   0.5247
   0.0980   3.2374   0.4756   0.5244
   0.0990   3.2374   0.4758   0.5242
   0.1000   3.2371   0.4760   0.5240
   STRAIN    AVACS    MODE1    MODE2
   0.1000   3.2715   0.6822   0.3178
   0.1010   1.9543   0.5145   0.4855
   0.1020   1.5879   0.6445   0.3555
   0.1030   1.7632   0.6365   0.3635
   0.1040   1.8418   0.6217   0.3783
   0.1050   1.9197   0.6158   0.3842
   0.1060   1.9829   0.6218   0.3782
   0.1070   2.1114   0.6284   0.3716
   0.1080   2.1732   0.6303   0.3697
   0.1090   2.1820   0.6382   0.3618
   0.1100   2.1477   0.6630   0.3370
   0.1110   2.2057   0.6806   0.3194
   0.1120   2.2270   0.6700   0.3300
   0.1130   2.3676   0.6696   0.3304
   0.1140   2.4492   0.6366   0.3634
   0.1150   2.5489   0.6298   0.3702
   0.1160   2.6000   0.6160   0.3840
   0.1170   2.6968   0.6032   0.3968
   0.1180   2.7250   0.5921   0.4079
   0.1190   2.8241   0.5712   0.4288
   0.1200   2.8378   0.5697   0.4303
   0.1210   2.9703   0.5536   0.4464
   0.1220   3.0613   0.5501   0.4499
   0.1230   3.1151   0.5392   0.4608
   0.1240   3.1218   0.5380   0.4620
   0.1250   3.1904   0.5284   0.4716
   0.1260   3.2349   0.5253   0.4747
   0.1270   3.2647   0.5219   0.4781
   0.1280   3.3058   0.5255   0.4745
   0.1290   3.3064   0.5256   0.4744
   0.1300   3.3418   0.5263   0.4737
   0.1310   3.3811   0.5207   0.4793
   0.1320   3.3646   0.5201   0.4799
   0.1330   3.3794   0.5269   0.4731
   0.1340   3.3834   0.5300   0.4700
   0.1350   3.3982   0.5337   0.4663
   0.1360   3.4276   0.5341   0.4659
   0.1370   3.4330   0.5376   0.4624
   0.1380   3.4672   0.5366   0.4634
   0.1390   3.4743   0.5330   0.4670
   0.1400   3.4906   0.5333   0.4667
   0.1410   3.5157   0.5384   0.4616
   0.1420   3.5112   0.5450   0.4550
   0.1430   3.5223   0.5502   0.4498
   0.1440   3.5204   0.5507   0.4493
   0.1450   3.5026   0.5573   0.4427
   0.1460   3.4887   0.5622   0.4378
   0.1470   3.4833   0.5647   0.4353
   0.1480   3.5069   0.5628   0.4372
   0.1490   3.4935   0.5588   0.4412
   0.1500   3.5356   0.5640   0.4360
   0.1510   3.5383   0.5645   0.4355
   0.1520   3.5547   0.5723   0.4277
   0.1530   3.5386   0.5710   0.4290
   0.1540   3.5366   0.5792   0.4208
   0.1550   3.5340   0.5808   0.4192
   0.1560   3.5536   0.5862   0.4138
   0.1570   3.5397   0.5917   0.4083
   0.1580   3.5281   0.5978   0.4022
   0.1590   3.5280   0.6021   0.3979
   0.1600   3.4724   0.5949   0.4051
   0.1610   3.4585   0.5812   0.4188
   0.1620   3.5393   0.5890   0.4110
   0.1630   3.5223   0.5978   0.4022
   0.1640   3.5198   0.6042   0.3958
   0.1650   3.5127   0.6086   0.3914
   0.1660   3.5099   0.6126   0.3874
   0.1670   3.4766   0.6174   0.3826
   0.1680   3.4697   0.6152   0.3848
   0.1690   3.4720   0.6224   0.3776
   0.1700   3.4634   0.6228   0.3772
   0.1710   3.4672   0.6309   0.3691
   0.1720   3.4066   0.6198   0.3802
   0.1730   3.4288   0.5970   0.4030
   0.1740   3.4628   0.6095   0.3905
   0.1750   3.4799   0.6158   0.3842
   0.1760   3.4804   0.6228   0.3772
   0.1770   3.4667   0.6249   0.3751
   0.1780   3.4698   0.6350   0.3650
   0.1790   3.4630   0.6361   0.3639
   0.1800   3.4613   0.6394   0.3606
   0.1810   3.4376   0.6414   0.3586
   0.1820   3.4474   0.6457   0.3543
   0.1830   3.4235   0.6495   0.3505
   0.1840   3.4401   0.6513   0.3487
   0.1850   3.4275   0.6535   0.3465
   0.1860   3.4206   0.6527   0.3473
   0.1870   3.4000   0.6558   0.3442
   0.1880   3.3233   0.6395   0.3605
   0.1890   3.3739   0.6491   0.3509
   0.1900   3.3672   0.6567   0.3433
   0.1910   3.3680   0.6596   0.3404
   0.1920   3.3729   0.6620   0.3380
   0.1930   3.3637   0.6625   0.3375
   0.1940   3.3419   0.6617   0.3383
   0.1950   3.3309   0.6636   0.3364
   0.1960   3.3281   0.6671   0.3329
   0.1970   3.2813   0.6658   0.3342
   0.1980   3.2886   0.6653   0.3347
   0.1990   3.3088   0.6716   0.3284
   0.2000   3.2739   0.6677   0.3323
   0.2010   3.2849   0.6698   0.3302
   0.2020   3.2764   0.6722   0.3278
   0.2030   3.2767   0.6684   0.3316
   0.2040   3.2742   0.6736   0.3264
   0.2050   3.2632   0.6780   0.3220
   0.2060   3.2023   0.6775   0.3225
   0.2070   3.1865   0.6742   0.3258
   0.2080   3.1838   0.6802   0.3198
   0.2090   3.1808   0.6811   0.3189
   0.2100   3.1765   0.6826   0.3174
   0.2110   3.1751   0.6841   0.3159
   0.2120   3.1725   0.6843   0.3157
   0.2130   3.1462   0.6853   0.3147
   0.2140   3.1521   0.6872   0.3128
   0.2150   3.1493   0.6882   0.3118
   0.2160   3.1552   0.6897   0.3103
   0.2170   3.1459   0.6892   0.3108
   0.2180   3.1557   0.6898   0.3102
   0.2190   3.1642   0.6907   0.3093
   0.2200   3.1567   0.6908   0.3092
   0.2210   3.1621   0.6923   0.3077
   0.2220   3.1394   0.6864   0.3136
   0.2230   3.1679   0.6870   0.3130
   0.2240   3.1792   0.6879   0.3121
   0.2250   3.1725   0.6893   0.3107
   0.2260   3.1770   0.6915   0.3085
   0.2270   3.1699   0.6912   0.3088
   0.2280   3.1699   0.6928   0.3072
   0.2290   3.1709   0.6937   0.3063
   0.2300   3.1797   0.6953   0.3047
   0.2310   3.1684   0.6961   0.3039
   0.2320   3.1686   0.6971   0.3029
   0.2330   3.1663   0.6973   0.3027
   0.2340   3.1518   0.6987   0.3013
   0.2350   3.1580   0.6980   0.3020
   0.2360   3.1693   0.6914   0.3086
   0.2370   3.1514   0.6985   0.3015
   0.2380   3.1475   0.7007   0.2993
   0.2390   3.1435   0.7015   0.2985
   0.2400   3.1391   0.7029   0.2971
   0.2410   3.1152   0.7033   0.2967
   0.2420   3.1081   0.7011   0.2989
   0.2430   3.1217   0.7043   0.2957
   0.2440   3.1185   0.7053   0.2947
   0.2450   3.1123   0.7054   0.2946
   0.2460   3.1122   0.7044   0.2956
   0.2470   3.1034   0.7035   0.2965
   0.2480   3.1080   0.7071   0.2929
   0.2490   3.0991   0.7072   0.2928
   0.2500   3.0957   0.7068   0.2932
   0.2510   3.0929   0.7073   0.2927
   0.2520   3.0840   0.7072   0.2928
   0.2530   3.0897   0.7079   0.2921
   0.2540   3.0884   0.7083   0.2917
   0.2550   3.0932   0.7092   0.2908
   0.2560   3.0910   0.7101   0.2899
   0.2570   3.0954   0.7060   0.2940
   0.2580   3.0944   0.7084   0.2916
   0.2590   3.0826   0.7095   0.2905
   0.2600   3.0789   0.7106   0.2894
   0.2610   3.0886   0.7105   0.2895
   0.2620   3.0749   0.7111   0.2889
   0.2630   3.0800   0.7116   0.2884
   0.2640   3.0731   0.7075   0.2925
   0.2650   3.0814   0.7138   0.2862
   0.2660   3.0754   0.7143   0.2857
   0.2670   3.0869   0.7137   0.2863
   0.2680   3.0940   0.7138   0.2862
   0.2690   3.0787   0.7144   0.2856
   0.2700   3.0737   0.7171   0.2829
   0.2710   3.0799   0.7152   0.2848
   0.2720   3.0740   0.7153   0.2847
   0.2730   3.0739   0.7162   0.2838
   0.2740   3.0715   0.7154   0.2846
   0.2750   3.0788   0.7164   0.2836
   0.2760   3.0784   0.7167   0.2833
   0.2770   3.0715   0.7182   0.2818
   0.2780   3.0582   0.7160   0.2840
   0.2790   3.0574   0.7173   0.2827
   0.2800   3.0610   0.7178   0.2822
   0.2810   3.0624   0.7181   0.2819
   0.2820   3.0664   0.7184   0.2816
   0.2830   3.0402   0.7186   0.2814
   0.2840   3.0691   0.7173   0.2827
   0.2850   3.0560   0.7179   0.2821
   0.2860   3.0720   0.7199   0.2801
   0.2870   3.0700   0.7198   0.2802
   0.2880   3.0728   0.7196   0.2804
   0.2890   3.0718   0.7202   0.2798
   0.2900   3.0490   0.7192   0.2808
   0.2910   3.0559   0.7202   0.2798
   0.2920   3.0260   0.7137   0.2863
   0.2930   3.0544   0.7172   0.2828
   0.2940   3.0486   0.7196   0.2804
   0.2950   3.0431   0.7204   0.2796
   0.2960   3.0587   0.7209   0.2791
   0.2970   3.0553   0.7217   0.2783
   0.2980   3.0510   0.7216   0.2784
   0.2990   3.0448   0.7221   0.2779
   0.3000   3.0510   0.7224   0.2776
   0.3010   3.0388   0.7226   0.2774
   0.3020   3.0214   0.7236   0.2764
   0.3030   3.0392   0.7231   0.2769
   0.3040   3.0229   0.7212   0.2788
   0.3050   3.0415   0.7236   0.2764
   0.3060   3.0341   0.7232   0.2768
   0.3070   3.0463   0.7236   0.2764
   0.3080   3.0078   0.7242   0.2758
   0.3090   3.0111   0.7245   0.2755
   0.3100   3.0135   0.7251   0.2749
   0.3110   3.0250   0.7249   0.2751
   0.3120   3.0142   0.7246   0.2754
   0.3130   3.0173   0.7253   0.2747
   0.3140   3.0159   0.7264   0.2736
   0.3150   3.0284   0.7255   0.2745
   0.3160   3.0287   0.7257   0.2743
   0.3170   3.0297   0.7258   0.2742
   0.3180   3.0299   0.7259   0.2741
   0.3190   3.0244   0.7267   0.2733
   0.3200   3.0429   0.7261   0.2739
   0.3210   3.0177   0.7262   0.2738
   0.3220   3.0446   0.7264   0.2736
   0.3230   3.0408   0.7260   0.2740
   0.3240   3.0512   0.7205   0.2795
   0.3250   3.0441   0.7265   0.2735
   0.3260   3.0547   0.7266   0.2734
   0.3270   3.0360   0.7268   0.2732
   0.3280   3.0535   0.7267   0.2733
   0.3290   3.0538   0.7279   0.2721
   0.3300   3.0556   0.7272   0.2728
   0.3310   3.0445   0.7276   0.2724
   0.3320   3.0256   0.7234   0.2766
   0.3330   3.0421   0.7275   0.2725
   0.3340   2.9950   0.7237   0.2763
   0.3350   2.9788   0.7104   0.2896
   0.3360   3.0353   0.7225   0.2775
   0.3370   3.0439   0.7249   0.2751
   0.3380   3.0478   0.7259   0.2741
   0.3390   3.0608   0.7265   0.2735
   0.3400   3.0557   0.7269   0.2731
   0.3410   3.0318   0.7244   0.2756
   0.3420   3.0479   0.7277   0.2723
   0.3430   3.0424   0.7272   0.2728
   0.3440   3.0510   0.7279   0.2721
   0.3450   3.0351   0.7277   0.2723
   0.3460   3.0453   0.7282   0.2718
   0.3470   3.0502   0.7282   0.2718
   0.3480   3.0462   0.7280   0.2720
   0.3490   3.0441   0.7283   0.2717
   0.3500   3.0357   0.7289   0.2711
   0.3510   3.0470   0.7288   0.2712
   0.3520   3.0495   0.7285   0.2715
   0.3530   3.0581   0.7287   0.2713
   0.3540   3.0551   0.7289   0.2711
   0.3550   3.0572   0.7292   0.2708
   0.3560   3.0545   0.7293   0.2707
   0.3570   3.0565   0.7292   0.2708
   0.3580   3.0502   0.7290   0.2710
   0.3590   3.0473   0.7294   0.2706
   0.3600   3.0418   0.7290   0.2710
   0.3610   3.0434   0.7295   0.2705
   0.3620   3.0429   0.7300   0.2700
   0.3630   3.0347   0.7296   0.2704
   0.3640   3.0237   0.7305   0.2695
   0.3650   3.0360   0.7298   0.2702
   0.3660   3.0237   0.7305   0.2695
   0.3670   3.0344   0.7300   0.2700
   0.3680   3.0095   0.7306   0.2694
   0.3690   3.0217   0.7303   0.2697
   0.3700   3.0253   0.7297   0.2703
   0.3710   3.0370   0.7302   0.2698
   0.3720   3.0162   0.7327   0.2673
   0.3730   3.0358   0.7305   0.2695
   0.3740   3.0408   0.7305   0.2695
   0.3750   3.0406   0.7307   0.2693
   0.3760   3.0456   0.7306   0.2694
   0.3770   3.0285   0.7302   0.2698
   0.3780   3.0234   0.7288   0.2712
   0.3790   3.0493   0.7309   0.2691
   0.3800   3.0409   0.7300   0.2700
   0.3810   3.0515   0.7296   0.2704
   0.3820   3.0446   0.7320   0.2680
   0.3830   3.0611   0.7310   0.2690
   0.3840   3.0605   0.7309   0.2691
   0.3850   3.0586   0.7312   0.2688
   0.3860   3.0556   0.7314   0.2686
   0.3870   3.0429   0.7314   0.2686
   0.3880   3.0560   0.7312   0.2688
   0.3890   3.0475   0.7308   0.2692
   0.3900   3.0547   0.7312   0.2688
   0.3910   3.0401   0.7307   0.2693
   0.3920   3.0643   0.7314   0.2686
   0.3930   3.0664   0.7311   0.2689
   0.3940   3.0683   0.7311   0.2689
   0.3950   3.0629   0.7317   0.2683
   0.3960   3.0636   0.7321   0.2679
   0.3970   3.0446   0.7298   0.2702
   0.3980   3.0694   0.7309   0.2691
   0.3990   3.0603   0.7314   0.2686
   0.4000   3.0846   0.7309   0.2691
   0.4010   3.0880   0.7316   0.2684
   0.4020   3.0871   0.7310   0.2690
   0.4030   3.0042   0.7357   0.2643
   0.4040   3.0680   0.7351   0.2649
   0.4050   3.0936   0.7309   0.2691
   0.4060   3.0942   0.7310   0.2690
   0.4070   3.0943   0.7309   0.2691
   0.4080   3.0797   0.7315   0.2685
   0.4090   3.0995   0.7310   0.2690
   0.4100   3.0365   0.7344   0.2656
   0.4110   3.0933   0.7309   0.2691
   0.4120   3.0778   0.7309   0.2691
   0.4130   3.0894   0.7309   0.2691
   0.4140   3.0843   0.7312   0.2688
   0.4150   3.0840   0.7310   0.2690
   0.4160   3.0796   0.7325   0.2675
   0.4170   3.1017   0.7309   0.2691
   0.4180   3.1001   0.7308   0.2692
   0.4190   3.1004   0.7308   0.2692
   0.4200   3.0964   0.7308   0.2692
   0.4210   3.0868   0.7309   0.2691
   0.4220   3.0833   0.7310   0.2690
   0.4230   3.0882   0.7305   0.2695
   0.4240   3.0833   0.7309   0.2691
   0.4250   3.0863   0.7314   0.2686
   0.4260   3.0797   0.7310   0.2690
   0.4270   3.0779   0.7308   0.2692
   0.4280   3.0778   0.7312   0.2688
   0.4290   3.0846   0.7306   0.2694
   0.4300   3.0881   0.7304   0.2696
   0.4310   3.0867   0.7310   0.2690
   0.4320   3.0803   0.7305   0.2695
   0.4330   3.0752   0.7312   0.2688
   0.4340   3.0798   0.7303   0.2697
   0.4350   3.0684   0.7305   0.2695
   0.4360   3.0731   0.7305   0.2695
   0.4370   3.0630   0.7318   0.2682
   0.4380   3.0778   0.7304   0.2696
   0.4390   3.0812   0.7303   0.2697
   0.4400   3.0794   0.7302   0.2698
   0.4410   3.0607   0.7306   0.2694
   0.4420   3.0741   0.7304   0.2696
   0.4430   3.0717   0.7301   0.2699
   0.4440   3.0847   0.7312   0.2688
   0.4450   3.0805   0.7297   0.2703
   0.4460   3.0624   0.7298   0.2702
   0.4470   3.0796   0.7301   0.2699
   0.4480   3.0724   0.7313   0.2687
   0.4490   3.0786   0.7301   0.2699
   0.4500   3.0619   0.7315   0.2685
   0.4510   3.0719   0.7301   0.2699
   0.4520   3.0723   0.7287   0.2713
   0.4530   3.0867   0.7299   0.2701
   0.4540   3.0594   0.7281   0.2719
   0.4550   3.0804   0.7300   0.2700
   0.4560   3.0619   0.7297   0.2703
   0.4570   3.0762   0.7299   0.2701
   0.4580   3.0601   0.7310   0.2690
   0.4590   3.0820   0.7297   0.2703
   0.4600   3.0535   0.7314   0.2686
   0.4610   3.0821   0.7302   0.2698
   0.4620   3.0869   0.7299   0.2701
   0.4630   3.0861   0.7298   0.2702
   0.4640   3.0829   0.7300   0.2700
   0.4650   3.0891   0.7297   0.2703
   0.4660   3.0370   0.7124   0.2876
   0.4670   3.0902   0.7297   0.2703
   0.4680   3.0964   0.7294   0.2706
   0.4690   3.0615   0.7301   0.2699
   0.4700   3.0901   0.7299   0.2701
   0.4710   3.0869   0.7297   0.2703
   0.4720   3.0904   0.7300   0.2700
   0.4730   3.0986   0.7295   0.2705
   0.4740   3.0944   0.7292   0.2708
   0.4750   3.0807   0.7290   0.2710
   0.4760   3.0884   0.7292   0.2708
   0.4770   3.0739   0.7297   0.2703
   0.4780   3.0832   0.7291   0.2709
   0.4790   3.0741   0.7282   0.2718
   0.4800   3.0813   0.7289   0.2711
   0.4810   3.0826   0.7299   0.2701
   0.4820   3.0847   0.7292   0.2708
   0.4830   3.0679   0.7286   0.2714
   0.4840   3.0765   0.7301   0.2699
   0.4850   3.0879   0.7312   0.2688
   0.4860   3.0801   0.7281   0.2719
   0.4870   3.0722   0.7290   0.2710
   0.4880   3.0885   0.7286   0.2714
   0.4890   3.0727   0.7291   0.2709
   0.4900   3.0894   0.7291   0.2709
   0.4910   3.0889   0.7286   0.2714
   0.4920   3.0756   0.7292   0.2708
   0.4930   3.0984   0.7285   0.2715
   0.4940   3.0819   0.7294   0.2706
   0.4950   3.1099   0.7291   0.2709
   0.4960   3.1084   0.7283   0.2717
   0.4970   3.1091   0.7283   0.2717
   0.4980   3.1073   0.7285   0.2715
   0.4990   3.0992   0.7288   0.2712
   0.5000   3.0999   0.7283   0.2717
   0.5010   3.0496   0.7254   0.2746
   0.5020   3.1073   0.7279   0.2721
   0.5030   3.1039   0.7283   0.2717
   0.5040   3.1090   0.7280   0.2720
   0.5050   3.1086   0.7281   0.2719
   0.5060   3.1110   0.7284   0.2716
   0.5070   3.1092   0.7281   0.2719
   0.5080   3.1064   0.7279   0.2721
   0.5090   3.1038   0.7281   0.2719
   0.5100   3.1052   0.7275   0.2725
   0.5110   3.1010   0.7271   0.2729
   0.5120   3.1059   0.7274   0.2726
   0.5130   3.1033   0.7276   0.2724
   0.5140   3.1133   0.7273   0.2727
   0.5150   3.1080   0.7278   0.2722
   0.5160   3.1067   0.7272   0.2728
   0.5170   3.0969   0.7276   0.2724
   0.5180   3.1046   0.7271   0.2729
   0.5190   3.1064   0.7271   0.2729
   0.5200   3.1041   0.7271   0.2729
   0.5210   3.1090   0.7271   0.2729
   0.5220   3.0794   0.7292   0.2708
   0.5230   3.1167   0.7269   0.2731
   0.5240   3.1011   0.7272   0.2728
   0.5250   3.1213   0.7268   0.2732
   0.5260   3.1046   0.7266   0.2734
   0.5270   3.1186   0.7267   0.2733
   0.5280   3.1160   0.7267   0.2733
   0.5290   3.1171   0.7265   0.2735
   0.5300   3.1160   0.7267   0.2733
   0.5310   3.1158   0.7264   0.2736
   0.5320   3.1228   0.7267   0.2733
   0.5330   3.1009   0.7272   0.2728
   0.5340   3.1236   0.7266   0.2734
   0.5350   3.1209   0.7265   0.2735
   0.5360   3.1159   0.7264   0.2736
   0.5370   3.1117   0.7267   0.2733
   0.5380   3.1253   0.7263   0.2737
   0.5390   3.0581   0.7297   0.2703
   0.5400   3.1474   0.7262   0.2738
   0.5410   3.1340   0.7261   0.2739
   0.5420   3.1125   0.7265   0.2735
   0.5430   3.1325   0.7260   0.2740
   0.5440   3.1333   0.7259   0.2741
   0.5450   3.1252   0.7259   0.2741
   0.5460   3.1257   0.7259   0.2741
   0.5470   3.1266   0.7258   0.2742
   0.5480   3.1261   0.7259   0.2741
   0.5490   3.1259   0.7262   0.2738
   0.5500   3.1303   0.7257   0.2743
   0.5510   3.1183   0.7210   0.2790
   0.5520   3.1299   0.7256   0.2744
   0.5530   3.1105   0.7270   0.2730
   0.5540   3.1363   0.7258   0.2742
   0.5550   3.1385   0.7261   0.2739
   0.5560   3.1371   0.7256   0.2744
   0.5570   3.1233   0.7271   0.2729
   0.5580   3.1361   0.7255   0.2745
   0.5590   3.0913   0.7290   0.2710
   0.5600   3.1270   0.7256   0.2744
   0.5610   3.1265   0.7260   0.2740
   0.5620   3.1279   0.7252   0.2748
   0.5630   3.0913   0.7252   0.2748
   0.5640   3.1268   0.7253   0.2747
   0.5650   3.1287   0.7251   0.2749
   0.5660   3.1157   0.7257   0.2743
   0.5670   3.1315   0.7250   0.2750
   0.5680   3.1226   0.7214   0.2786
   0.5690   3.1303   0.7249   0.2751
   0.5700   3.1222   0.7248   0.2752
   0.5710   3.1373   0.7254   0.2746
   0.5720   3.1227   0.7257   0.2743
   0.5730   3.1457   0.7249   0.2751
   0.5740   3.1429   0.7248   0.2752
   0.5750   3.1012   0.7287   0.2713
   0.5760   3.1445   0.7252   0.2748
   0.5770   3.1539   0.7249   0.2751
   0.5780   3.1629   0.7245   0.2755
   0.5790   3.1627   0.7248   0.2752
   0.5800   3.1688   0.7244   0.2756
   0.5810   3.1399   0.7253   0.2747
   0.5820   3.1748   0.7244   0.2756
   0.5830   3.1702   0.7236   0.2764
   0.5840   3.1749   0.7242   0.2758
   0.5850   3.1441   0.7273   0.2727
   0.5860   3.1642   0.7249   0.2751
   0.5870   3.1641   0.7242   0.2758
   0.5880   3.1568   0.7221   0.2779
   0.5890   3.1638   0.7240   0.2760
   0.5900   3.1667   0.7239   0.2761
   0.5910   3.1619   0.7215   0.2785
   0.5920   3.1645   0.7239   0.2761
   0.5930   3.1644   0.7246   0.2754
   0.5940   3.1641   0.7237   0.2763
   0.5950   3.1504   0.7255   0.2745
   0.5960   3.1728   0.7237   0.2763
   0.5970   3.1603   0.7240   0.2760
   0.5980   3.1758   0.7235   0.2765
   0.5990   3.1622   0.7239   0.2761
   0.6000   3.1565   0.7244   0.2756
   0.6010   3.1629   0.7234   0.2766
   0.6020   3.1634   0.7235   0.2765
   0.6030   3.1589   0.7236   0.2764
   0.6040   3.1646   0.7232   0.2768
   0.6050   3.1600   0.7235   0.2765
   0.6060   3.1587   0.7236   0.2764
   0.6070   3.1596   0.7230   0.2770
   0.6080   3.1531   0.7242   0.2758
   0.6090   3.1572   0.7230   0.2770
   0.6100   3.1653   0.7229   0.2771
   0.6110   3.1585   0.7228   0.2772
   0.6120   3.1352   0.7244   0.2756
   0.6130   3.1617   0.7228   0.2772
   0.6140   3.1761   0.7246   0.2754
   0.6150   3.1665   0.7227   0.2773
   0.6160   3.1576   0.7226   0.2774
   0.6170   3.1170   0.7279   0.2721
   0.6180   3.1734   0.7225   0.2775
   0.6190   3.1480   0.7233   0.2767
   0.6200   3.1830   0.7224   0.2776
   0.6210   3.1824   0.7223   0.2777
   0.6220   3.1590   0.7229   0.2771
   0.6230   3.1796   0.7221   0.2779
   0.6240   3.1749   0.7229   0.2771
   0.6250   3.1830   0.7220   0.2780
   0.6260   3.1542   0.7238   0.2762
   0.6270   3.1805   0.7223   0.2777
   0.6280   3.1818   0.7221   0.2779
   0.6290   3.1911   0.7219   0.2781
   0.6300   3.1839   0.7217   0.2783
   0.6310   3.2039   0.7217   0.2783
   0.6320   3.2028   0.7217   0.2783
   0.6330   3.1945   0.7221   0.2779
   0.6340   3.2024   0.7215   0.2785
   0.6350   3.1933   0.7228   0.2772
   0.6360   3.1864   0.7208   0.2792
   0.6370   3.1692   0.7213   0.2787
   0.6380   3.2206   0.7212   0.2788
   0.6390   3.2157   0.7218   0.2782
   0.6400   3.2200   0.7211   0.2789
   0.6410   3.2183   0.7210   0.2790
   0.6420   3.2210   0.7210   0.2790
   0.6430   3.2222   0.7207   0.2793
   0.6440   3.2370   0.7208   0.2792
   0.6450   3.2170   0.7211   0.2789
   0.6460   3.2174   0.7216   0.2784
   0.6470   3.2339   0.7206   0.2794
   0.6480   3.2324   0.7211   0.2789
   0.6490   3.2371   0.7204   0.2796
   0.6500   3.2240   0.7207   0.2793
   0.6510   3.2309   0.7203   0.2797
   0.6520   3.2257   0.7208   0.2792
   0.6530   3.2290   0.7201   0.2799
   0.6540   3.2350   0.7215   0.2785
   0.6550   3.2147   0.7207   0.2793
   0.6560   3.2230   0.7199   0.2801
   0.6570   3.2275   0.7202   0.2798
   0.6580   3.2283   0.7197   0.2803
   0.6590   3.2239   0.7215   0.2785
   0.6600   3.2287   0.7201   0.2799
   0.6610   3.2284   0.7196   0.2804
