   STRAIN    AVACS    MODE1    MODE2
   0.0000   4.4987   0.5359   0.4641
   0.0010   4.0734   0.5092   0.4908
   0.0020   3.9522   0.4998   0.5002
   0.0030   3.8934   0.4940   0.5060
   0.0040   3.8436   0.4896   0.5104
   0.0050   3.8171   0.4863   0.5137
   0.0060   3.7760   0.4835   0.5165
   0.0070   3.7468   0.4813   0.5187
   0.0080   3.7279   0.4793   0.5207
   0.0090   3.7077   0.4778   0.5222
   0.0100   3.6811   0.4764   0.5236
   0.0110   3.6725   0.4752   0.5248
   0.0120   3.6583   0.4742   0.5258
   0.0130   3.6518   0.4731   0.5269
   0.0140   3.6462   0.4723   0.5277
   0.0150   3.6121   0.4716   0.5284
   0.0160   3.5892   0.4709   0.5291
   0.0170   3.5561   0.4703   0.5297
   0.0180   3.5460   0.4697   0.5303
   0.0190   3.5418   0.4692   0.5308
   0.0200   3.5279   0.4687   0.5313
   0.0210   3.5270   0.4683   0.5317
   0.0220   3.5093   0.4679   0.5321
   0.0230   3.5012   0.4676   0.5324
   0.0240   3.4924   0.4673   0.5327
   0.0250   3.4794   0.4670   0.5330
   0.0260   3.4721   0.4668   0.5332
   0.0270   3.4658   0.4666   0.5334
   0.0280   3.4621   0.4667   0.5333
   0.0290   3.4412   0.4664   0.5336
   0.0300   3.4348   0.4662   0.5338
   0.0310   3.4196   0.4663   0.5337
   0.0320   3.4309   0.4660   0.5340
   0.0330   3.4118   0.4661   0.5339
   0.0340   3.3975   0.4659   0.5341
   0.0350   3.3903   0.4660   0.5340
   0.0360   3.3698   0.4658   0.5342
   0.0370   3.3700   0.4660   0.5340
   0.0380   3.3622   0.4658   0.5342
   0.0390   3.3563   0.4660   0.5340
   0.0400   3.3552   0.4658   0.5342
   0.0410   3.3412   0.4660   0.5340
   0.0420   3.3350   0.4661   0.5339
   0.0430   3.3268   0.4662   0.5338
   0.0440   3.3290   0.4660   0.5340
   0.0450   3.3268   0.4662   0.5338
   0.0460   3.3242   0.4663   0.5337
   0.0470   3.3230   0.4665   0.5335
   0.0480   3.3138   0.4666   0.5334
   0.0490   3.3063   0.4667   0.5333
   0.0500   3.3154   0.4667   0.5333
   0.0510   3.3242   0.4666   0.5334
   0.0520   3.3141   0.4669   0.5331
   0.0530   3.3069   0.4671   0.5329
   0.0540   3.3054   0.4672   0.5328
   0.0550   3.3065   0.4673   0.5327
   0.0560   3.3028   0.4675   0.5325
   0.0570   3.2759   0.4676   0.5324
   0.0580   3.2689   0.4677   0.5323
   0.0590   3.2696   0.4679   0.5321
   0.0600   3.2695   0.4681   0.5319
   0.0610   3.2739   0.4682   0.5318
   0.0620   3.2689   0.4684   0.5316
   0.0630   3.2598   0.4685   0.5315
   0.0640   3.2590   0.4687   0.5313
   0.0650   3.2588   0.4689   0.5311
   0.0660   3.2593   0.4690   0.5310
   0.0670   3.2601   0.4692   0.5308
   0.0680   3.2622   0.4694   0.5306
   0.0690   3.2595   0.4695   0.5305
   0.0700   3.2582   0.4697   0.5303
   0.0710   3.2652   0.4699   0.5301
   0.0720   3.2677   0.4701   0.5299
   0.0730   3.2651   0.4703   0.5297
   0.0740   3.2595   0.4705   0.5295
