          S1          S2          D1          D2      angS      angD      angN
 -0.4494E+01 -0.1394E+03 -0.8831E-07 -0.7175E-02    -91.85    -90.00    -89.14
 -0.9210E+01 -0.1393E+03 -0.6240E-03 -0.7138E-02    -93.78    -95.00    -92.83
 -0.1445E+02 -0.1388E+03 -0.1247E-02 -0.7073E-02    -95.94   -100.00    -96.84
 -0.2084E+02 -0.1378E+03 -0.1869E-02 -0.6974E-02    -98.60   -105.00   -101.43
 -0.2943E+02 -0.1356E+03 -0.2488E-02 -0.6835E-02   -102.24   -110.01   -107.42
 -0.4039E+02 -0.1313E+03 -0.3107E-02 -0.6661E-02   -107.10   -115.00   -115.53
 -0.5003E+02 -0.1259E+03 -0.3732E-02 -0.6462E-02   -111.68   -120.01   -122.78
 -0.5713E+02 -0.1208E+03 -0.4355E-02 -0.6218E-02   -115.31   -125.01   -127.73
 -0.6248E+02 -0.1164E+03 -0.4971E-02 -0.5923E-02   -118.23   -130.01   -131.52
 -0.6679E+02 -0.1123E+03 -0.5583E-02 -0.5583E-02   -120.73   -135.00   -135.62
 -0.7045E+02 -0.1083E+03 -0.6199E-02 -0.5202E-02   -123.05   -140.00   -139.95
 -0.7354E+02 -0.1044E+03 -0.6821E-02 -0.4776E-02   -125.17   -145.00   -143.60
 -0.7616E+02 -0.1006E+03 -0.7450E-02 -0.4301E-02   -127.13   -150.00   -146.83
 -0.7855E+02 -0.9669E+02 -0.8088E-02 -0.3771E-02   -129.09   -155.00   -149.97
 -0.8095E+02 -0.9225E+02 -0.8732E-02 -0.3178E-02   -131.27   -160.00   -153.06
 -0.8357E+02 -0.8666E+02 -0.9364E-02 -0.2509E-02   -133.96   -165.00   -156.44
 -0.8671E+02 -0.7860E+02 -0.9943E-02 -0.1753E-02   -137.81   -170.00   -160.65
 -0.9088E+02 -0.6393E+02 -0.1037E-01 -0.9068E-03   -144.87   -175.00   -167.45
 -0.9330E+02 -0.2430E+02 -0.1072E-01 -0.3964E-06   -165.40   -180.00    170.17
 -0.8621E+02  0.1150E+02 -0.1147E-01  0.1003E-02    172.40    175.00    163.85
 -0.8086E+02  0.2552E+02 -0.1172E-01  0.2066E-02    162.48    170.00    158.96
 -0.7743E+02  0.3445E+02 -0.1154E-01  0.3092E-02    156.01    165.00    158.73
 -0.7472E+02  0.4134E+02 -0.1114E-01  0.4056E-02    151.05    160.00    158.19
 -0.7228E+02  0.4732E+02 -0.1060E-01  0.4943E-02    146.79    155.00    157.40
 -0.6987E+02  0.5297E+02 -0.9954E-02  0.5748E-02    142.84    149.99    156.41
 -0.6733E+02  0.5864E+02 -0.9225E-02  0.6461E-02    138.94    145.00    155.37
 -0.6443E+02  0.6479E+02 -0.8417E-02  0.7064E-02    134.84    140.00    154.22
 -0.6077E+02  0.7211E+02 -0.7525E-02  0.7526E-02    130.12    135.00    152.37
 -0.5491E+02  0.8254E+02 -0.6525E-02  0.7775E-02    123.64    130.00    147.22
 -0.3967E+02  0.1011E+03 -0.5434E-02  0.7760E-02    111.42    125.00    128.99
 -0.2086E+02  0.1115E+03 -0.4673E-02  0.8096E-02    100.60    120.00    107.26
 -0.1041E+02  0.1136E+03 -0.3936E-02  0.8441E-02     95.24    115.00     97.86
 -0.4085E+01  0.1142E+03 -0.3144E-02  0.8641E-02     92.05    109.99     95.28
  0.7390E+00  0.1147E+03 -0.2339E-02  0.8737E-02     89.63    104.99     95.28
  0.4921E+01  0.1151E+03 -0.1544E-02  0.8757E-02     87.55    100.00     96.01
  0.8876E+01  0.1155E+03 -0.7632E-03  0.8716E-02     85.61     95.00     96.82
  0.1288E+02  0.1160E+03 -0.4503E-06  0.8620E-02     83.67     90.00     97.06
