    EPSACU   Rho_for_mod Rho_for_mod     Rho_deb     Rho_tot
  0.0000E+00  0.1500E+11  0.6000E+11  0.1000E+12  0.1750E+12
  0.2000E-02  0.5447E+11  0.6092E+11  0.1000E+12  0.2154E+12
  0.4000E-02  0.1505E+12  0.6170E+11  0.1000E+12  0.3122E+12
  0.6000E-02  0.2968E+12  0.6291E+11  0.1000E+12  0.4597E+12
  0.8000E-02  0.4718E+12  0.6471E+11  0.1001E+12  0.6366E+12
  0.1000E-01  0.6563E+12  0.6725E+11  0.1001E+12  0.8236E+12
  0.1200E-01  0.8374E+12  0.7062E+11  0.1002E+12  0.1008E+13
  0.1400E-01  0.1008E+13  0.7476E+11  0.1004E+12  0.1183E+13
  0.1600E-01  0.1165E+13  0.7939E+11  0.1005E+12  0.1344E+13
  0.1800E-01  0.1306E+13  0.8407E+11  0.1007E+12  0.1490E+13
  0.2000E-01  0.1431E+13  0.8849E+11  0.1008E+12  0.1621E+13
  0.2200E-01  0.1543E+13  0.9250E+11  0.1010E+12  0.1736E+13
  0.2400E-01  0.1642E+13  0.9608E+11  0.1012E+12  0.1839E+13
  0.2600E-01  0.1729E+13  0.9923E+11  0.1014E+12  0.1930E+13
  0.2800E-01  0.1807E+13  0.1020E+12  0.1017E+12  0.2010E+13
  0.3000E-01  0.1876E+13  0.1045E+12  0.1019E+12  0.2082E+13
  0.3200E-01  0.1938E+13  0.1067E+12  0.1021E+12  0.2147E+13
  0.3400E-01  0.1994E+13  0.1087E+12  0.1023E+12  0.2205E+13
  0.3600E-01  0.2044E+13  0.1104E+12  0.1026E+12  0.2257E+13
  0.3800E-01  0.2089E+13  0.1120E+12  0.1028E+12  0.2304E+13
  0.4000E-01  0.2131E+13  0.1135E+12  0.1030E+12  0.2348E+13
  0.4200E-01  0.2169E+13  0.1149E+12  0.1033E+12  0.2387E+13
  0.4400E-01  0.2204E+13  0.1162E+12  0.1035E+12  0.2424E+13
  0.4600E-01  0.2237E+13  0.1174E+12  0.1038E+12  0.2458E+13
  0.4800E-01  0.2267E+13  0.1185E+12  0.1040E+12  0.2489E+13
  0.5000E-01  0.2295E+13  0.1196E+12  0.1043E+12  0.2518E+13
  0.5200E-01  0.2321E+13  0.1206E+12  0.1045E+12  0.2546E+13
  0.5400E-01  0.2345E+13  0.1216E+12  0.1048E+12  0.2572E+13
  0.5600E-01  0.2368E+13  0.1225E+12  0.1050E+12  0.2596E+13
  0.5800E-01  0.2390E+13  0.1235E+12  0.1053E+12  0.2619E+13
  0.6000E-01  0.2411E+13  0.1244E+12  0.1055E+12  0.2641E+13
  0.6200E-01  0.2430E+13  0.1254E+12  0.1058E+12  0.2661E+13
  0.6400E-01  0.2449E+13  0.1263E+12  0.1060E+12  0.2681E+13
  0.6600E-01  0.2467E+13  0.1273E+12  0.1063E+12  0.2700E+13
  0.6800E-01  0.2484E+13  0.1283E+12  0.1065E+12  0.2719E+13
  0.7000E-01  0.2500E+13  0.1293E+12  0.1068E+12  0.2736E+13
  0.7200E-01  0.2516E+13  0.1304E+12  0.1071E+12  0.2753E+13
  0.7400E-01  0.2531E+13  0.1316E+12  0.1073E+12  0.2770E+13
  0.7600E-01  0.2546E+13  0.1328E+12  0.1076E+12  0.2786E+13
  0.7800E-01  0.2560E+13  0.1340E+12  0.1078E+12  0.2802E+13
  0.8000E-01  0.2574E+13  0.1353E+12  0.1081E+12  0.2817E+13
  0.8200E-01  0.2587E+13  0.1367E+12  0.1084E+12  0.2832E+13
  0.8400E-01  0.2600E+13  0.1382E+12  0.1086E+12  0.2847E+13
  0.8600E-01  0.2612E+13  0.1399E+12  0.1089E+12  0.2861E+13
  0.8800E-01  0.2624E+13  0.1417E+12  0.1092E+12  0.2875E+13
  0.9000E-01  0.2636E+13  0.1436E+12  0.1094E+12  0.2889E+13
  0.9200E-01  0.2647E+13  0.1458E+12  0.1097E+12  0.2903E+13
  0.9400E-01  0.2658E+13  0.1481E+12  0.1100E+12  0.2916E+13
  0.9600E-01  0.2669E+13  0.1506E+12  0.1102E+12  0.2930E+13
  0.9800E-01  0.2680E+13  0.1535E+12  0.1105E+12  0.2944E+13
  0.1000E+00  0.2690E+13  0.1565E+12  0.1108E+12  0.2957E+13
  0.1020E+00  0.3139E+13  0.1602E+12  0.1110E+12  0.3410E+13
  0.1040E+00  0.3693E+13  0.1625E+12  0.1114E+12  0.3967E+13
  0.1060E+00  0.4264E+13  0.1648E+12  0.1118E+12  0.4541E+13
  0.1080E+00  0.4843E+13  0.1670E+12  0.1124E+12  0.5122E+13
  0.1100E+00  0.5420E+13  0.1692E+12  0.1130E+12  0.5702E+13
  0.1120E+00  0.5990E+13  0.1712E+12  0.1137E+12  0.6275E+13
  0.1140E+00  0.6548E+13  0.1730E+12  0.1145E+12  0.6836E+13
  0.1160E+00  0.7091E+13  0.1746E+12  0.1154E+12  0.7381E+13
  0.1180E+00  0.7614E+13  0.1760E+12  0.1163E+12  0.7907E+13
  0.1200E+00  0.8119E+13  0.1773E+12  0.1173E+12  0.8414E+13
  0.1220E+00  0.8603E+13  0.1785E+12  0.1183E+12  0.8900E+13
  0.1240E+00  0.9067E+13  0.1795E+12  0.1195E+12  0.9366E+13
  0.1260E+00  0.9510E+13  0.1805E+12  0.1206E+12  0.9811E+13
  0.1280E+00  0.9933E+13  0.1814E+12  0.1219E+12  0.1024E+14
  0.1300E+00  0.1034E+14  0.1824E+12  0.1231E+12  0.1064E+14
  0.1320E+00  0.1072E+14  0.1833E+12  0.1244E+12  0.1103E+14
  0.1340E+00  0.1109E+14  0.1845E+12  0.1258E+12  0.1140E+14
  0.1360E+00  0.1144E+14  0.1856E+12  0.1272E+12  0.1175E+14
  0.1380E+00  0.1178E+14  0.1869E+12  0.1286E+12  0.1209E+14
  0.1400E+00  0.1210E+14  0.1886E+12  0.1301E+12  0.1242E+14
  0.1420E+00  0.1241E+14  0.1907E+12  0.1315E+12  0.1273E+14
  0.1440E+00  0.1270E+14  0.1932E+12  0.1331E+12  0.1303E+14
  0.1460E+00  0.1299E+14  0.1960E+12  0.1347E+12  0.1332E+14
  0.1480E+00  0.1326E+14  0.1991E+12  0.1363E+12  0.1360E+14
  0.1500E+00  0.1353E+14  0.2026E+12  0.1379E+12  0.1387E+14
  0.1520E+00  0.1379E+14  0.2067E+12  0.1396E+12  0.1413E+14
  0.1540E+00  0.1403E+14  0.2117E+12  0.1412E+12  0.1439E+14
  0.1560E+00  0.1427E+14  0.2177E+12  0.1430E+12  0.1463E+14
  0.1580E+00  0.1450E+14  0.2249E+12  0.1447E+12  0.1487E+14
  0.1600E+00  0.1473E+14  0.2338E+12  0.1465E+12  0.1511E+14
  0.1620E+00  0.1495E+14  0.2446E+12  0.1484E+12  0.1534E+14
  0.1640E+00  0.1516E+14  0.2579E+12  0.1502E+12  0.1557E+14
  0.1660E+00  0.1537E+14  0.2742E+12  0.1521E+12  0.1580E+14
  0.1680E+00  0.1557E+14  0.2939E+12  0.1540E+12  0.1602E+14
  0.1700E+00  0.1576E+14  0.3185E+12  0.1559E+12  0.1624E+14
  0.1720E+00  0.1595E+14  0.3481E+12  0.1579E+12  0.1646E+14
  0.1740E+00  0.1614E+14  0.3848E+12  0.1598E+12  0.1668E+14
  0.1760E+00  0.1631E+14  0.4277E+12  0.1618E+12  0.1690E+14
  0.1780E+00  0.1648E+14  0.4800E+12  0.1638E+12  0.1713E+14
  0.1800E+00  0.1665E+14  0.5427E+12  0.1658E+12  0.1736E+14
  0.1820E+00  0.1681E+14  0.6169E+12  0.1678E+12  0.1759E+14
  0.1840E+00  0.1696E+14  0.7049E+12  0.1698E+12  0.1784E+14
  0.1860E+00  0.1711E+14  0.8080E+12  0.1718E+12  0.1809E+14
  0.1880E+00  0.1725E+14  0.9275E+12  0.1738E+12  0.1835E+14
  0.1900E+00  0.1739E+14  0.1064E+13  0.1759E+12  0.1863E+14
  0.1920E+00  0.1752E+14  0.1222E+13  0.1779E+12  0.1892E+14
  0.1940E+00  0.1765E+14  0.1400E+13  0.1799E+12  0.1923E+14
  0.1960E+00  0.1777E+14  0.1601E+13  0.1819E+12  0.1956E+14
  0.1980E+00  0.1789E+14  0.1831E+13  0.1839E+12  0.1991E+14
  0.2000E+00  0.1801E+14  0.2090E+13  0.1859E+12  0.2028E+14
