   STRAIN    AVACS    PRITW    SECTW    MODE1    MODE2    MODE3    MODE4    TWFR3    EFFR3    TWFR4    EFFR4
   0.0000   1.8385   0.0000   0.0000   0.9878   0.0122   0.0000   0.0000   0.0000   0.0000   0.0000   0.0000
   0.0020   1.8045   0.0000   0.0000   0.9928   0.0072   0.0000   0.0000   0.0000   0.0000   0.0000   0.0000
   0.0040   1.8086   0.0000   0.0000   0.9911   0.0089   0.0000   0.0000   0.0000   0.0000   0.0000   0.0000
   0.0060   1.8104   0.0000   0.0000   0.9889   0.0111   0.0000   0.0000   0.0000   0.0000   0.0000   0.0000
   0.0080   1.8205   0.0000   0.0000   0.9869   0.0130   0.0000   0.0000   0.0000   0.0000   0.0000   0.0000
   0.0100   1.8221   0.0000   0.0000   0.9851   0.0146   0.0003   0.0000   0.0000   0.0000   0.0000   0.0000
   0.0120   1.8236   0.0000   0.0000   0.9829   0.0154   0.0017   0.0000   0.0000   0.0000   0.0000   0.0000
   0.0140   1.8470   0.0000   0.0000   0.9787   0.0146   0.0067   0.0000   0.0001   0.0000   0.0000   0.0000
   0.0160   1.9256   0.0000   0.0000   0.9717   0.0126   0.0157   0.0000   0.0003   0.0000   0.0000   0.0000
   0.0180   2.0001   0.0000   0.0000   0.9623   0.0103   0.0274   0.0000   0.0007   0.0000   0.0000   0.0000
   0.0200   2.1209   0.0000   0.0000   0.9514   0.0082   0.0404   0.0000   0.0015   0.0000   0.0000   0.0000
   0.0220   2.2449   0.0000   0.0000   0.9399   0.0066   0.0535   0.0000   0.0026   0.0000   0.0000   0.0000
   0.0240   2.3450   0.0000   0.0000   0.9286   0.0054   0.0661   0.0000   0.0042   0.0000   0.0000   0.0000
   0.0260   2.4245   0.0000   0.0000   0.9178   0.0044   0.0778   0.0000   0.0060   0.0000   0.0000   0.0000
   0.0280   2.4893   0.0000   0.0000   0.9077   0.0037   0.0886   0.0000   0.0083   0.0000   0.0000   0.0000
   0.0300   2.5516   0.0000   0.0000   0.8984   0.0031   0.0984   0.0000   0.0108   0.0000   0.0000   0.0000
   0.0320   2.6149   0.0000   0.0000   0.8900   0.0027   0.1073   0.0000   0.0136   0.0000   0.0000   0.0000
   0.0340   2.6589   0.0006   0.0000   0.8824   0.0024   0.1153   0.0000   0.0167   0.0006   0.0000   0.0000
   0.0360   2.6951   0.0009   0.0000   0.8755   0.0021   0.1224   0.0000   0.0199   0.0009   0.0000   0.0000
   0.0380   2.7372   0.0023   0.0000   0.8696   0.0019   0.1285   0.0000   0.0234   0.0023   0.0000   0.0000
   0.0400   2.7579   0.0033   0.0000   0.8640   0.0017   0.1343   0.0000   0.0271   0.0033   0.0000   0.0000
   0.0420   2.7876   0.0046   0.0000   0.8589   0.0016   0.1395   0.0000   0.0309   0.0046   0.0000   0.0000
   0.0440   2.8032   0.0064   0.0000   0.8546   0.0015   0.1439   0.0000   0.0349   0.0064   0.0000   0.0000
   0.0460   2.8215   0.0081   0.0000   0.8506   0.0014   0.1480   0.0000   0.0391   0.0081   0.0000   0.0000
   0.0480   2.8438   0.0094   0.0000   0.8468   0.0014   0.1519   0.0000   0.0433   0.0094   0.0000   0.0000
   0.0500   2.8640   0.0120   0.0000   0.8436   0.0013   0.1551   0.0000   0.0476   0.0120   0.0000   0.0000
   0.0520   2.8780   0.0146   0.0000   0.8405   0.0013   0.1582   0.0000   0.0521   0.0146   0.0000   0.0000
   0.0540   2.8822   0.0188   0.0000   0.8385   0.0013   0.1601   0.0000   0.0566   0.0188   0.0000   0.0000
   0.0560   2.8938   0.0210   0.0000   0.8360   0.0013   0.1627   0.0000   0.0612   0.0210   0.0000   0.0000
   0.0580   2.9088   0.0246   0.0000   0.8341   0.0013   0.1645   0.0000   0.0659   0.0246   0.0000   0.0000
   0.0600   2.9298   0.0272   0.0000   0.8320   0.0013   0.1667   0.0000   0.0706   0.0272   0.0000   0.0000
   0.0620   2.9428   0.0315   0.0000   0.8301   0.0014   0.1685   0.0000   0.0754   0.0315   0.0000   0.0000
   0.0640   2.9502   0.0352   0.0000   0.8288   0.0015   0.1697   0.0000   0.0803   0.0352   0.0000   0.0000
   0.0660   2.9524   0.0394   0.0000   0.8273   0.0016   0.1711   0.0000   0.0852   0.0394   0.0000   0.0000
