   STRAIN    AVACS    PRITW    SECTW    MODE1    MODE2    MODE3    MODE4    TWFR3    EFFR3    TWFR4    EFFR4
   0.0680   2.9587   0.0451   0.0000   0.8269   0.0018   0.1713   0.0000   0.0902   0.0451   0.0000   0.0000
   0.0700   2.9687   0.0510   0.0000   0.8264   0.0020   0.1716   0.0000   0.0951   0.0510   0.0000   0.0000
   0.0720   2.9817   0.0559   0.0000   0.8258   0.0021   0.1721   0.0000   0.1001   0.0559   0.0000   0.0000
   0.0740   2.9863   0.0608   0.0000   0.8252   0.0023   0.1725   0.0000   0.1051   0.0608   0.0000   0.0000
   0.0760   2.9910   0.0644   0.0000   0.8241   0.0024   0.1735   0.0000   0.1101   0.0644   0.0000   0.0000
   0.0780   2.9824   0.0699   0.0000   0.8237   0.0029   0.1735   0.0000   0.1152   0.0699   0.0000   0.0000
   0.0800   2.9861   0.0763   0.0000   0.8235   0.0032   0.1733   0.0000   0.1202   0.0763   0.0000   0.0000
   0.0820   3.0062   0.0808   0.0000   0.8223   0.0035   0.1741   0.0000   0.1253   0.0808   0.0000   0.0000
   0.0840   3.0177   0.0869   0.0000   0.8221   0.0040   0.1739   0.0000   0.1304   0.0869   0.0000   0.0000
   0.0860   3.0269   0.0928   0.0000   0.8213   0.0046   0.1741   0.0000   0.1355   0.0928   0.0000   0.0000
   0.0880   3.0237   0.0989   0.0000   0.8213   0.0051   0.1736   0.0000   0.1406   0.0989   0.0000   0.0000
   0.0900   3.0207   0.1043   0.0000   0.8208   0.0058   0.1735   0.0000   0.1457   0.1043   0.0000   0.0000
   0.0920   3.0206   0.1089   0.0000   0.8203   0.0063   0.1734   0.0000   0.1508   0.1089   0.0000   0.0000
   0.0940   3.0272   0.1143   0.0000   0.8200   0.0069   0.1730   0.0000   0.1560   0.1143   0.0000   0.0000
   0.0960   3.0252   0.1224   0.0000   0.8198   0.0081   0.1720   0.0000   0.1611   0.1224   0.0000   0.0000
   0.0980   3.0304   0.1255   0.0000   0.8188   0.0084   0.1728   0.0000   0.1661   0.1255   0.0000   0.0000
   0.1000   3.0331   0.1327   0.0000   0.8177   0.0099   0.1724   0.0000   0.1713   0.1327   0.0000   0.0000
   STRAIN    AVACS    PRITW    SECTW    MODE1    MODE2    MODE3    MODE4    TWFR3    EFFR3    TWFR4    EFFR4
   0.1000   3.0331   0.1327   0.0000   0.8178   0.0099   0.1723   0.0000   0.1713   0.1327   0.0000   0.0000
   0.1020   1.8790   0.1403   0.0000   0.9721   0.0057   0.0222   0.0000   0.1764   0.1403   0.0000   0.0000
   0.1040   1.9427   0.1408   0.0000   0.9649   0.0057   0.0294   0.0000   0.1770   0.1408   0.0000   0.0000
   0.1060   2.0626   0.1414   0.0000   0.9565   0.0054   0.0381   0.0000   0.1779   0.1414   0.0000   0.0000
   0.1080   2.2680   0.1442   0.0000   0.9462   0.0051   0.0487   0.0000   0.1790   0.1442   0.0000   0.0000
   0.1100   2.4409   0.1459   0.0000   0.9352   0.0046   0.0602   0.0000   0.1805   0.1459   0.0000   0.0000
   0.1120   2.6029   0.1497   0.0000   0.9233   0.0042   0.0724   0.0000   0.1823   0.1497   0.0000   0.0000
   0.1140   2.7307   0.1522   0.0000   0.9100   0.0037   0.0863   0.0000   0.1844   0.1522   0.0000   0.0000
   0.1160   2.8419   0.1537   0.0000   0.8965   0.0031   0.1004   0.0000   0.1870   0.1537   0.0000   0.0000
   0.1180   2.9596   0.1582   0.0000   0.8829   0.0028   0.1142   0.0000   0.1900   0.1582   0.0000   0.0000
   0.1200   3.0584   0.1634   0.0000   0.8681   0.0026   0.1292   0.0000   0.1935   0.1634   0.0000   0.0000
   0.1220   3.1223   0.1677   0.0000   0.8539   0.0024   0.1437   0.0000   0.1974   0.1677   0.0000   0.0000
   0.1240   3.1680   0.1723   0.0000   0.8395   0.0022   0.1583   0.0000   0.2017   0.1723   0.0000   0.0000
   0.1260   3.2351   0.1795   0.0000   0.8255   0.0021   0.1723   0.0000   0.2065   0.1795   0.0000   0.0000
   0.1280   3.2641   0.1856   0.0000   0.8119   0.0021   0.1860   0.0000   0.2117   0.1856   0.0000   0.0000
   0.1300   3.3043   0.1947   0.0000   0.7990   0.0022   0.1987   0.0000   0.2174   0.1947   0.0000   0.0000
   0.1320   3.3388   0.2067   0.0000   0.7868   0.0026   0.2105   0.0000   0.2235   0.2067   0.0000   0.0000
   0.1340   3.3764   0.2113   0.0000   0.7749   0.0025   0.2225   0.0000   0.2300   0.2113   0.0000   0.0000
   0.1360   3.4056   0.2233   0.0000   0.7641   0.0031   0.2328   0.0000   0.2369   0.2233   0.0000   0.0000
   0.1380   3.4170   0.2353   0.0000   0.7549   0.0038   0.2413   0.0000   0.2441   0.2353   0.0000   0.0000
   0.1400   3.4134   0.2490   0.0000   0.7466   0.0047   0.2486   0.0000   0.2516   0.2490   0.0000   0.0000
   0.1420   3.4343   0.2595   0.0000   0.7384   0.0057   0.2558   0.0000   0.2594   0.2595   0.0000   0.0000
   0.1440   3.4536   0.2685   0.0000   0.7305   0.0065   0.2630   0.0000   0.2674   0.2685   0.0000   0.0000
   0.1460   3.4713   0.2761   0.0000   0.7228   0.0069   0.2702   0.0000   0.2758   0.2761   0.0000   0.0000
   0.1480   3.5011   0.2846   0.0000   0.7156   0.0077   0.2767   0.0000   0.2844   0.2846   0.0000   0.0000
   0.1500   3.5125   0.2933   0.0000   0.7086   0.0089   0.2824   0.0000   0.2932   0.2933   0.0000   0.0000
   0.1520   3.5208   0.3032   0.0000   0.7022   0.0110   0.2868   0.0001   0.3022   0.3032   0.0000   0.0000
   0.1540   3.5273   0.3117   0.0000   0.6960   0.0129   0.2911   0.0001   0.3115   0.3117   0.0000   0.0000
   0.1560   3.5271   0.3213   0.0000   0.6906   0.0153   0.2940   0.0001   0.3209   0.3213   0.0000   0.0000
   0.1580   3.5254   0.3311   0.0000   0.6853   0.0184   0.2961   0.0001   0.3305   0.3311   0.0000   0.0000
   0.1600   3.5373   0.3416   0.0000   0.6800   0.0221   0.2978   0.0001   0.3402   0.3416   0.0000   0.0000
   0.1620   3.5422   0.3508   0.0000   0.6742   0.0264   0.2992   0.0002   0.3499   0.3508   0.0000   0.0000
   0.1640   3.5437   0.3600   0.0000   0.6693   0.0314   0.2991   0.0002   0.3598   0.3600   0.0000   0.0000
   0.1660   3.5606   0.3698   0.0000   0.6639   0.0370   0.2989   0.0002   0.3697   0.3698   0.0000   0.0000
   0.1680   3.5677   0.3797   0.0000   0.6579   0.0447   0.2972   0.0003   0.3797   0.3797   0.0000   0.0000
   0.1700   3.5748   0.3903   0.0000   0.6520   0.0518   0.2958   0.0003   0.3896   0.3903   0.0000   0.0000
   0.1720   3.5837   0.4000   0.0000   0.6457   0.0619   0.2920   0.0004   0.3994   0.4000   0.0001   0.0000
   0.1740   3.6001   0.4095   0.0000   0.6399   0.0685   0.2912   0.0004   0.4092   0.4095   0.0001   0.0000
   0.1760   3.6071   0.4191   0.0000   0.6327   0.0802   0.2866   0.0005   0.4190   0.4191   0.0001   0.0000
   0.1780   3.6177   0.4294   0.0000   0.6254   0.0914   0.2826   0.0006   0.4286   0.4294   0.0001   0.0000
   0.1800   3.6297   0.4388   0.0000   0.6183   0.1026   0.2784   0.0007   0.4380   0.4388   0.0001   0.0000
   0.1820   3.6433   0.4480   0.0000   0.6100   0.1157   0.2735   0.0008   0.4474   0.4480   0.0001   0.0000
   0.1840   3.6584   0.4567   0.0000   0.6022   0.1285   0.2683   0.0009   0.4565   0.4567   0.0001   0.0000
   0.1860   3.6627   0.4662   0.0000   0.5938   0.1409   0.2642   0.0011   0.4655   0.4662   0.0002   0.0000
   0.1880   3.6870   0.4745   0.0000   0.5866   0.1510   0.2613   0.0012   0.4743   0.4745   0.0002   0.0000
   0.1900   3.7036   0.4840   0.0000   0.5769   0.1672   0.2545   0.0014   0.4830   0.4840   0.0002   0.0000
   0.1920   3.7216   0.4919   0.0000   0.5705   0.1769   0.2510   0.0016   0.4915   0.4919   0.0003   0.0000
   0.1940   3.7559   0.5008   0.0000   0.5631   0.1887   0.2465   0.0018   0.4998   0.5008   0.0003   0.0000
   0.1960   3.7652   0.5091   0.0000   0.5554   0.2042   0.2384   0.0020   0.5080   0.5091   0.0003   0.0000
   0.1980   3.7997   0.5164   0.0000   0.5471   0.2194   0.2312   0.0023   0.5159   0.5164   0.0004   0.0000
   0.2000   3.8311   0.5243   0.0000   0.5398   0.2305   0.2272   0.0026   0.5236   0.5243   0.0004   0.0000
