   STRAIN    AVACS    MODE1    MODE2    MODE3
   0.0000   2.7079   0.3661   0.3565   0.2774
   0.0200   2.7004   0.3776   0.3614   0.2611
   0.0400   2.6973   0.3868   0.3645   0.2487
   0.0600   2.6869   0.3944   0.3665   0.2391
   0.0800   2.6809   0.4009   0.3676   0.2315
   0.1000   2.6772   0.4064   0.3681   0.2255
   0.1200   2.6682   0.4112   0.3679   0.2209
   0.1400   2.6637   0.4153   0.3673   0.2173
   0.1600   2.6598   0.4188   0.3663   0.2148
   0.1800   2.6554   0.4219   0.3650   0.2131
   0.2000   2.6569   0.4245   0.3633   0.2123
   0.2200   2.6614   0.4266   0.3612   0.2121
   0.2400   2.6642   0.4284   0.3589   0.2127
   0.2600   2.6657   0.4298   0.3563   0.2139
   0.2800   2.6673   0.4308   0.3534   0.2158
   0.3000   2.6765   0.4315   0.3502   0.2183
   0.3200   2.6829   0.4318   0.3468   0.2214
   0.3400   2.6804   0.4311   0.3426   0.2263
   0.3600   2.6808   0.4312   0.3390   0.2299
   0.3800   2.6804   0.4302   0.3345   0.2353
   0.4000   2.6818   0.4288   0.3297   0.2414
   0.4200   2.6753   0.4266   0.3242   0.2492
   0.4400   2.6775   0.4249   0.3189   0.2563
   0.4600   2.6751   0.4219   0.3126   0.2655
   0.4800   2.6751   0.4187   0.3062   0.2751
   0.5000   2.6741   0.4152   0.2996   0.2852
