        EPSvm          Svm        SDEV1    SDEV2    SDEV3    SDEV4    SDEV5    SDEV6        DDEV1    DDEV2    DDEV3    DDEV4    DDEV5    DDEV6
  0.00000E+00  0.44278E+01        0.243    0.353    0.298    0.283    0.256    0.000        0.313    0.480    0.394    0.373    0.329    0.000
  0.19959E-01  0.49216E+01        0.246    0.339    0.294    0.281    0.259    0.000        0.322    0.481    0.403    0.386    0.339    0.000
  0.39915E-01  0.53899E+01        0.247    0.328    0.290    0.279    0.260    0.000        0.331    0.486    0.414    0.399    0.348    0.000
  0.59870E-01  0.58513E+01        0.248    0.318    0.285    0.277    0.260    0.000        0.339    0.493    0.425    0.414    0.356    0.000
  0.79826E-01  0.63115E+01        0.248    0.310    0.280    0.275    0.260    0.000        0.346    0.501    0.437    0.429    0.362    0.000
  0.99783E-01  0.67776E+01        0.247    0.302    0.275    0.271    0.258    0.000        0.354    0.511    0.450    0.446    0.369    0.000
  0.11974E+00  0.72558E+01        0.245    0.294    0.269    0.268    0.255    0.000        0.360    0.522    0.464    0.463    0.374    0.000
  0.13971E+00  0.77519E+01        0.243    0.287    0.264    0.264    0.252    0.000        0.367    0.534    0.480    0.481    0.379    0.000
  0.15968E+00  0.82715E+01        0.240    0.280    0.259    0.260    0.247    0.000        0.373    0.546    0.498    0.501    0.383    0.000
  0.17965E+00  0.88237E+01        0.237    0.273    0.254    0.255    0.243    0.000        0.379    0.558    0.517    0.521    0.387    0.000
  0.19963E+00  0.94046E+01        0.233    0.265    0.249    0.249    0.237    0.000        0.384    0.571    0.539    0.543    0.390    0.000
  0.21961E+00  0.10024E+02        0.228    0.258    0.243    0.244    0.231    0.000        0.389    0.583    0.563    0.567    0.393    0.000
  0.23959E+00  0.10691E+02        0.223    0.250    0.238    0.238    0.225    0.000        0.393    0.595    0.589    0.592    0.396    0.000
  0.25958E+00  0.11402E+02        0.217    0.242    0.233    0.232    0.218    0.000        0.396    0.606    0.617    0.619    0.398    0.000
  0.27956E+00  0.12167E+02        0.210    0.233    0.227    0.226    0.211    0.000        0.399    0.617    0.647    0.648    0.401    0.000
  0.29955E+00  0.12991E+02        0.203    0.225    0.221    0.219    0.204    0.000        0.401    0.627    0.680    0.679    0.403    0.000
  0.31954E+00  0.13884E+02        0.196    0.216    0.215    0.213    0.197    0.000        0.403    0.637    0.713    0.712    0.405    0.000
  0.33953E+00  0.14923E+02        0.189    0.208    0.208    0.206    0.190    0.000        0.403    0.644    0.747    0.745    0.406    0.000
  0.35952E+00  0.15910E+02        0.181    0.199    0.201    0.199    0.183    0.000        0.405    0.654    0.785    0.782    0.408    0.000
  0.37951E+00  0.17064E+02        0.173    0.191    0.194    0.192    0.175    0.000        0.406    0.662    0.822    0.819    0.409    0.000
  0.39951E+00  0.18320E+02        0.166    0.182    0.187    0.185    0.168    0.000        0.406    0.669    0.861    0.857    0.409    0.000
  0.41950E+00  0.19759E+02        0.159    0.174    0.180    0.178    0.161    0.000        0.406    0.673    0.900    0.896    0.408    0.000
  0.43949E+00  0.21198E+02        0.152    0.165    0.172    0.170    0.153    0.000        0.406    0.677    0.942    0.938    0.408    0.000
  0.45949E+00  0.22886E+02        0.145    0.156    0.165    0.163    0.146    0.000        0.404    0.677    0.984    0.978    0.406    0.000
  0.47948E+00  0.24693E+02        0.138    0.147    0.158    0.156    0.138    0.000        0.403    0.674    1.027    1.018    0.403    0.000
  0.49948E+00  0.26595E+02        0.131    0.138    0.151    0.149    0.132    0.000        0.401    0.671    1.069    1.058    0.400    0.000
