 EPS   PHASE      AVAX1   AVAX2   AVAX3      SDAX1   SDAX2   SDAX3
  0.00     1      1.000   1.000   1.000      0.000   0.000   0.000
  0.02     1      1.003   1.020   0.977      0.004   0.006   0.008
  0.04     1      1.006   1.040   0.955      0.007   0.013   0.017
  0.06     1      1.009   1.061   0.933      0.011   0.019   0.025
  0.08     1      1.012   1.083   0.912      0.014   0.026   0.034
  0.10     1      1.015   1.105   0.891      0.018   0.034   0.042
  0.12     1      1.018   1.128   0.870      0.021   0.041   0.051
  0.14     1      1.021   1.152   0.850      0.024   0.049   0.060
  0.16     1      1.024   1.176   0.830      0.027   0.057   0.069
  0.18     1      1.027   1.202   0.811      0.030   0.065   0.078
  0.20     1      1.030   1.228   0.792      0.033   0.073   0.087
  0.22     1      1.033   1.255   0.774      0.036   0.081   0.097
  0.24     1      1.036   1.282   0.755      0.039   0.090   0.106
  0.26     1      1.039   1.311   0.738      0.042   0.098   0.115
  0.28     1      1.042   1.340   0.720      0.046   0.107   0.124
  0.30     1      1.045   1.371   0.703      0.049   0.115   0.134
  0.32     1      1.048   1.402   0.686      0.052   0.124   0.143
  0.34     1      1.052   1.435   0.670      0.055   0.132   0.152
  0.36     1      1.055   1.468   0.654      0.058   0.141   0.162
  0.38     1      1.059   1.503   0.638      0.062   0.149   0.171
  0.40     1      1.063   1.538   0.622      0.065   0.157   0.180
  0.42     1      1.067   1.575   0.606      0.069   0.165   0.189
  0.44     1      1.071   1.613   0.591      0.073   0.173   0.198
  0.46     1      1.076   1.652   0.576      0.076   0.181   0.207
  0.48     1      1.081   1.692   0.561      0.081   0.189   0.216
  0.50     1      1.086   1.733   0.547      0.085   0.196   0.225
