    EPSACU     EPSVM   EPSctrl    RHOforest     RHOreverse      RHOtotal       RHOmod1       RHOmod2
    0.0950    0.0950    0.0950    0.3264E+12    0.5184E+14    0.5217E+14    0.2236E+14    0.2976E+14    0.4213E+11
    0.1000    0.1000    0.1000    0.3734E+12    0.5440E+14    0.5478E+14    0.2387E+14    0.3086E+14    0.4375E+11
    0.1050    0.1050    0.1050    0.3834E+12    0.5686E+14    0.5724E+14    0.2521E+14    0.3199E+14    0.4312E+11
    0.1100    0.1100    0.1100    0.4108E+12    0.5924E+14    0.5965E+14    0.2635E+14    0.3325E+14    0.4166E+11
    0.1150    0.1150    0.1150    0.4539E+12    0.6161E+14    0.6207E+14    0.2762E+14    0.3440E+14    0.4062E+11
    0.1200    0.1200    0.1200    0.5154E+12    0.6395E+14    0.6447E+14    0.2895E+14    0.3548E+14    0.3983E+11
    0.1250    0.1250    0.1250    0.5980E+12    0.6624E+14    0.6684E+14    0.3032E+14    0.3648E+14    0.3927E+11
    0.1300    0.1300    0.1300    0.7048E+12    0.6848E+14    0.6918E+14    0.3172E+14    0.3742E+14    0.3889E+11
    0.1350    0.1350    0.1350    0.8389E+12    0.7065E+14    0.7149E+14    0.3314E+14    0.3831E+14    0.3868E+11
    0.1400    0.1400    0.1400    0.1003E+13    0.7277E+14    0.7377E+14    0.3458E+14    0.3915E+14    0.3861E+11
    0.1450    0.1450    0.1450    0.1201E+13    0.7481E+14    0.7602E+14    0.3603E+14    0.3994E+14    0.3866E+11
    0.1500    0.1500    0.1500    0.1434E+13    0.7679E+14    0.7823E+14    0.3750E+14    0.4069E+14    0.3881E+11
    0.1550    0.1550    0.1550    0.1706E+13    0.7870E+14    0.8040E+14    0.3896E+14    0.4140E+14    0.3904E+11
    0.1600    0.1600    0.1600    0.2017E+13    0.8053E+14    0.8254E+14    0.4043E+14    0.4207E+14    0.3933E+11
    0.1650    0.1650    0.1650    0.2369E+13    0.8228E+14    0.8465E+14    0.4191E+14    0.4270E+14    0.3970E+11
    0.1700    0.1700    0.1700    0.2763E+13    0.8396E+14    0.8672E+14    0.4338E+14    0.4330E+14    0.4009E+11
    0.1750    0.1750    0.1750    0.3200E+13    0.8556E+14    0.8876E+14    0.4486E+14    0.4386E+14    0.4054E+11
    0.1800    0.1800    0.1800    0.3680E+13    0.8708E+14    0.9076E+14    0.4633E+14    0.4439E+14    0.4100E+11
    0.1850    0.1850    0.1850    0.4203E+13    0.8853E+14    0.9273E+14    0.4780E+14    0.4489E+14    0.4149E+11
    0.1900    0.1900    0.1900    0.4768E+13    0.8989E+14    0.9466E+14    0.4926E+14    0.4536E+14    0.4201E+11
    0.1950    0.1950    0.1950    0.5376E+13    0.9118E+14    0.9656E+14    0.5072E+14    0.4580E+14    0.4255E+11
    0.2000    0.2000    0.2000    0.6024E+13    0.9240E+14    0.9842E+14    0.5217E+14    0.4621E+14    0.4309E+11
    0.2050    0.2050    0.2050    0.6711E+13    0.9354E+14    0.1003E+15    0.5362E+14    0.4659E+14    0.4365E+11
    0.2100    0.2100    0.2100    0.7437E+13    0.9461E+14    0.1021E+15    0.5506E+14    0.4695E+14    0.4420E+11
    0.2150    0.2150    0.2150    0.8200E+13    0.9562E+14    0.1038E+15    0.5649E+14    0.4728E+14    0.4475E+11
    0.2200    0.2200    0.2200    0.8998E+13    0.9655E+14    0.1055E+15    0.5791E+14    0.4759E+14    0.4528E+11
    0.2250    0.2250    0.2250    0.9829E+13    0.9742E+14    0.1072E+15    0.5932E+14    0.4788E+14    0.4580E+11
    0.2300    0.2300    0.2300    0.1069E+14    0.9823E+14    0.1089E+15    0.6073E+14    0.4814E+14    0.4632E+11
    0.2350    0.2350    0.2350    0.1159E+14    0.9897E+14    0.1106E+15    0.6212E+14    0.4839E+14    0.4680E+11
    0.2400    0.2400    0.2400    0.1251E+14    0.9966E+14    0.1122E+15    0.6350E+14    0.4861E+14    0.4728E+11
    0.2450    0.2450    0.2450    0.1345E+14    0.1003E+15    0.1137E+15    0.6488E+14    0.4882E+14    0.4775E+11
    0.2500    0.2500    0.2500    0.1442E+14    0.1009E+15    0.1153E+15    0.6624E+14    0.4901E+14    0.4820E+11
    0.2550    0.2550    0.2550    0.1541E+14    0.1014E+15    0.1168E+15    0.6759E+14    0.4917E+14    0.4865E+11
    0.2600    0.2600    0.2600    0.1642E+14    0.1019E+15    0.1183E+15    0.6892E+14    0.4933E+14    0.4908E+11
    0.2650    0.2650    0.2650    0.1745E+14    0.1023E+15    0.1198E+15    0.7025E+14    0.4947E+14    0.4948E+11
    0.2700    0.2700    0.2700    0.1849E+14    0.1027E+15    0.1212E+15    0.7156E+14    0.4959E+14    0.4980E+11
    0.2750    0.2750    0.2750    0.1954E+14    0.1031E+15    0.1226E+15    0.7285E+14    0.4970E+14    0.5011E+11
    0.2800    0.2800    0.2800    0.2061E+14    0.1034E+15    0.1240E+15    0.7414E+14    0.4980E+14    0.5041E+11
    0.2850    0.2850    0.2850    0.2168E+14    0.1037E+15    0.1253E+15    0.7541E+14    0.4988E+14    0.5068E+11
    0.2900    0.2900    0.2900    0.2277E+14    0.1039E+15    0.1267E+15    0.7667E+14    0.4995E+14    0.5095E+11
    0.2950    0.2950    0.2950    0.2384E+14    0.1041E+15    0.1280E+15    0.7792E+14    0.5000E+14    0.5112E+11
    0.3000    0.3000    0.3000    0.2494E+14    0.1043E+15    0.1293E+15    0.7915E+14    0.5005E+14    0.5133E+11
