   STRAIN    AVACS    PRITW    SECTW    MODE1    MODE2    MODE3    MODE4    TWFR4    EFFR4
   0.2150   2.9060   0.0000   0.0000   0.5802   0.3989   0.0007   0.0202   0.0965   0.0000
   0.2200   2.8906   0.0000   0.0000   0.5842   0.3953   0.0007   0.0198   0.0985   0.0000
   0.2250   2.8970   0.0000   0.0000   0.5880   0.3918   0.0007   0.0194   0.1004   0.0000
   0.2300   2.9040   0.0000   0.0000   0.5910   0.3893   0.0007   0.0190   0.1022   0.0000
   0.2350   2.9091   0.0000   0.0000   0.5948   0.3859   0.0007   0.0185   0.1041   0.0000
   0.2400   2.9146   0.0000   0.0000   0.5983   0.3829   0.0007   0.0181   0.1059   0.0000
   0.2450   2.9189   0.0000   0.0000   0.6016   0.3800   0.0007   0.0177   0.1076   0.0000
   0.2500   2.9269   0.0000   0.0000   0.6052   0.3769   0.0007   0.0173   0.1093   0.0000
   0.2550   2.9333   0.0000   0.0000   0.6083   0.3742   0.0007   0.0168   0.1110   0.0000
   0.2600   2.9379   0.0000   0.0000   0.6112   0.3717   0.0007   0.0164   0.1126   0.0000
   0.2650   2.9444   0.0000   0.0000   0.6136   0.3698   0.0007   0.0160   0.1142   0.0000
   0.2700   2.9605   0.0000   0.0000   0.6168   0.3670   0.0007   0.0156   0.1157   0.0000
   0.2750   2.9776   0.0000   0.0000   0.6196   0.3646   0.0007   0.0152   0.1172   0.0000
   0.2800   2.9908   0.0000   0.0000   0.6230   0.3616   0.0007   0.0148   0.1187   0.0000
   0.2850   2.9936   0.0000   0.0000   0.6260   0.3590   0.0006   0.0144   0.1201   0.0000
   0.2900   3.0179   0.0000   0.0000   0.6293   0.3563   0.0006   0.0139   0.1215   0.0000
   0.2950   3.0082   0.0000   0.0000   0.6318   0.3540   0.0006   0.0136   0.1229   0.0000
   0.3000   3.0321   0.0000   0.0000   0.6356   0.3508   0.0006   0.0131   0.1242   0.0000
