 STRAIN  AVACS  MODE1
   0.0000   3.4769   1.0000
   0.0200   3.4851   1.0000
   0.0400   3.4989   1.0000
   0.0600   3.4896   1.0000
   0.0800   3.4894   1.0000
   0.1000   3.5073   1.0000
   0.1200   3.5000   1.0000
   0.1400   3.5104   1.0000
   0.1600   3.5030   1.0000
   0.1800   3.5151   1.0000
   0.2000   3.5131   1.0000
   0.2200   3.5268   1.0000
   0.2400   3.5269   1.0000
   0.2600   3.5253   1.0000
   0.2800   3.5300   1.0000
   0.3000   3.5417   1.0000
   0.3200   3.5404   1.0000
   0.3400   3.5422   1.0000
   0.3600   3.5471   1.0000
   0.3800   3.5454   1.0000
   0.4000   3.5528   1.0000
   0.4200   3.5601   1.0000
   0.4400   3.5590   1.0000
   0.4600   3.5625   1.0000
   0.4800   3.5706   1.0000
   0.5000   3.5693   1.0000
   0.5200   3.5721   1.0000
   0.5400   3.5761   1.0000
   0.5600   3.5767   1.0000
   0.5800   3.5733   1.0000
   0.6000   3.5834   1.0000
   0.6200   3.5783   1.0000
   0.6400   3.5746   1.0000
   0.6600   3.5766   1.0000
   0.6800   3.5626   1.0000
   0.7000   3.5638   1.0000
   0.7200   3.5700   1.0000
   0.7400   3.5775   1.0000
   0.7600   3.5801   1.0000
   0.7800   3.5693   1.0000
   0.8000   3.5697   1.0000
   0.8200   3.5637   1.0000
   0.8400   3.5687   1.0000
   0.8600   3.5790   1.0000
   0.8800   3.5729   1.0000
   0.9000   3.5682   1.0000
   0.9200   3.5741   1.0000
   0.9400   3.5720   1.0000
   0.9600   3.5727   1.0000
   0.9800   3.5810   1.0000
   1.0000   3.5820   1.0000
