          Evm          Svm          E11          E22          E33          E23          E13          E12             SDEV11       SDEV22       SDEV33       SDEV23       SDEV13       SDEV12      TEMP      TIME    TAYLAV      WORKAV
  0.00000E+00  0.27067E+01     0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00     0.15598E+01  0.55717E-02 -0.15654E+01  0.18642E-01 -0.11023E-02 -0.11843E-01      298.      0.00     2.210  0.5519E-01
  0.23092E-01  0.28557E+01     0.20000E-01  0.00000E+00 -0.20000E-01  0.00000E+00  0.00000E+00  0.00000E+00     0.16424E+01  0.12232E-01 -0.16546E+01  0.20554E-01 -0.37326E-02 -0.10760E-01      298.      0.02     2.210  0.1133E+00
  0.46183E-01  0.30041E+01     0.40000E-01  0.00000E+00 -0.40000E-01  0.00000E+00  0.00000E+00  0.00000E+00     0.17249E+01  0.18600E-01 -0.17435E+01  0.22610E-01 -0.57880E-02 -0.93605E-02      298.      0.04     2.210  0.1744E+00
  0.69273E-01  0.31530E+01     0.60000E-01  0.00000E+00 -0.60000E-01  0.00000E+00  0.00000E+00  0.00000E+00     0.18075E+01  0.25142E-01 -0.18326E+01  0.24516E-01 -0.75400E-02 -0.77190E-02      298.      0.06     2.210  0.2387E+00
  0.92363E-01  0.33025E+01     0.80000E-01  0.00000E+00 -0.80000E-01  0.00000E+00  0.00000E+00  0.00000E+00     0.18904E+01  0.31791E-01 -0.19222E+01  0.26186E-01 -0.87060E-02 -0.61401E-02      298.      0.08     2.211  0.3060E+00
  0.11545E+00  0.34525E+01     0.10000E+00  0.00000E+00 -0.10000E+00  0.00000E+00  0.00000E+00  0.00000E+00     0.19737E+01  0.38190E-01 -0.20119E+01  0.27605E-01 -0.90932E-02 -0.47922E-02      298.      0.10     2.211  0.3764E+00
  0.13854E+00  0.36027E+01     0.12000E+00  0.00000E+00 -0.12000E+00  0.00000E+00  0.00000E+00  0.00000E+00     0.20575E+01  0.43912E-01 -0.21014E+01  0.28661E-01 -0.87932E-02 -0.33874E-02      298.      0.12     2.212  0.4499E+00
  0.16163E+00  0.37533E+01     0.14000E+00  0.00000E+00 -0.14000E+00  0.00000E+00  0.00000E+00  0.00000E+00     0.21419E+01  0.48860E-01 -0.21908E+01  0.29169E-01 -0.79706E-02 -0.16144E-02      298.      0.14     2.213  0.5266E+00
  0.18472E+00  0.39036E+01     0.16000E+00  0.00000E+00 -0.16000E+00  0.00000E+00  0.00000E+00  0.00000E+00     0.22266E+01  0.52975E-01 -0.22796E+01  0.28999E-01 -0.69188E-02  0.49575E-03      298.      0.16     2.214  0.6064E+00
  0.20780E+00  0.40550E+01     0.18000E+00  0.00000E+00 -0.18000E+00  0.00000E+00  0.00000E+00  0.00000E+00     0.23121E+01  0.56693E-01 -0.23688E+01  0.28164E-01 -0.53904E-02  0.29195E-02      298.      0.18     2.215  0.6893E+00
  0.23089E+00  0.42068E+01     0.20000E+00  0.00000E+00 -0.20000E+00  0.00000E+00  0.00000E+00  0.00000E+00     0.23980E+01  0.60065E-01 -0.24581E+01  0.26891E-01 -0.31511E-02  0.55905E-02      298.      0.20     2.216  0.7753E+00
  0.25398E+00  0.43588E+01     0.22000E+00  0.00000E+00 -0.22000E+00  0.00000E+00  0.00000E+00  0.00000E+00     0.24841E+01  0.63469E-01 -0.25476E+01  0.25504E-01 -0.46269E-03  0.83033E-02      298.      0.22     2.217  0.8646E+00
  0.27706E+00  0.45116E+01     0.24000E+00  0.00000E+00 -0.24000E+00  0.00000E+00  0.00000E+00  0.00000E+00     0.25704E+01  0.67251E-01 -0.26376E+01  0.24128E-01  0.21513E-02  0.10968E-01      298.      0.24     2.218  0.9571E+00
  0.30015E+00  0.46643E+01     0.26000E+00  0.00000E+00 -0.26000E+00  0.00000E+00  0.00000E+00  0.00000E+00     0.26566E+01  0.71008E-01 -0.27276E+01  0.22804E-01  0.41806E-02  0.13547E-01      298.      0.26     2.219  0.1053E+01
  0.32324E+00  0.48172E+01     0.28000E+00  0.00000E+00 -0.28000E+00  0.00000E+00  0.00000E+00  0.00000E+00     0.27428E+01  0.75002E-01 -0.28178E+01  0.21531E-01  0.56765E-02  0.15956E-01      298.      0.28     2.220  0.1152E+01
  0.34632E+00  0.49700E+01     0.30000E+00  0.00000E+00 -0.30000E+00  0.00000E+00  0.00000E+00  0.00000E+00     0.28289E+01  0.79234E-01 -0.29081E+01  0.20338E-01  0.68556E-02  0.18072E-01      298.      0.30     2.221  0.1254E+01
  0.36941E+00  0.51227E+01     0.32000E+00  0.00000E+00 -0.32000E+00  0.00000E+00  0.00000E+00  0.00000E+00     0.29147E+01  0.83767E-01 -0.29984E+01  0.19225E-01  0.77582E-02  0.19876E-01      298.      0.32     2.221  0.1359E+01
  0.39250E+00  0.52755E+01     0.34000E+00  0.00000E+00 -0.34000E+00  0.00000E+00  0.00000E+00  0.00000E+00     0.30004E+01  0.88655E-01 -0.30890E+01  0.18184E-01  0.82549E-02  0.21333E-01      298.      0.34     2.222  0.1468E+01
  0.41558E+00  0.54284E+01     0.36000E+00  0.00000E+00 -0.36000E+00  0.00000E+00  0.00000E+00  0.00000E+00     0.30861E+01  0.93601E-01 -0.31797E+01  0.17187E-01  0.82526E-02  0.22383E-01      298.      0.36     2.222  0.1580E+01
  0.43867E+00  0.55812E+01     0.38000E+00  0.00000E+00 -0.38000E+00  0.00000E+00  0.00000E+00  0.00000E+00     0.31720E+01  0.98211E-01 -0.32702E+01  0.16250E-01  0.77752E-02  0.23141E-01      298.      0.38     2.222  0.1695E+01
  0.46175E+00  0.57337E+01     0.40000E+00  0.00000E+00 -0.40000E+00  0.00000E+00  0.00000E+00  0.00000E+00     0.32580E+01  0.10221E+00 -0.33602E+01  0.15442E-01  0.68358E-02  0.23727E-01      298.      0.40     2.222  0.1814E+01
  0.48484E+00  0.58863E+01     0.42000E+00  0.00000E+00 -0.42000E+00  0.00000E+00  0.00000E+00  0.00000E+00     0.33443E+01  0.10560E+00 -0.34499E+01  0.14855E-01  0.54950E-02  0.24248E-01      298.      0.42     2.222  0.1935E+01
  0.50792E+00  0.60388E+01     0.44000E+00  0.00000E+00 -0.44000E+00  0.00000E+00  0.00000E+00  0.00000E+00     0.34309E+01  0.10840E+00 -0.35393E+01  0.14473E-01  0.39369E-02  0.24655E-01      298.      0.44     2.222  0.2060E+01
  0.53101E+00  0.61914E+01     0.46000E+00  0.00000E+00 -0.46000E+00  0.00000E+00  0.00000E+00  0.00000E+00     0.35178E+01  0.11081E+00 -0.36286E+01  0.14268E-01  0.23140E-02  0.24951E-01      298.      0.46     2.222  0.2188E+01
  0.55409E+00  0.63439E+01     0.48000E+00  0.00000E+00 -0.48000E+00  0.00000E+00  0.00000E+00  0.00000E+00     0.36048E+01  0.11291E+00 -0.37177E+01  0.14260E-01  0.73250E-03  0.25215E-01      298.      0.48     2.222  0.2320E+01
  0.57718E+00  0.64964E+01     0.50000E+00  0.00000E+00 -0.50000E+00  0.00000E+00  0.00000E+00  0.00000E+00     0.36919E+01  0.11481E+00 -0.38067E+01  0.14466E-01 -0.75229E-03  0.25511E-01      298.      0.50     2.221  0.2455E+01
  0.60026E+00  0.66491E+01     0.52000E+00  0.00000E+00 -0.52000E+00  0.00000E+00  0.00000E+00  0.00000E+00     0.37791E+01  0.11662E+00 -0.38957E+01  0.14810E-01 -0.21379E-02  0.25897E-01      298.      0.52     2.221  0.2593E+01
  0.62335E+00  0.68023E+01     0.54000E+00  0.00000E+00 -0.54000E+00  0.00000E+00  0.00000E+00  0.00000E+00     0.38665E+01  0.11872E+00 -0.39852E+01  0.15197E-01 -0.34048E-02  0.26492E-01      298.      0.54     2.221  0.2734E+01
