   STRAIN    AVACS    PRITW    SECTW    MODE1    MODE2    MODE3    MODE4    TWFR4    EFFR4
   0.2150   3.0875   0.0000   0.0000   0.6005   0.3830   0.0007   0.0157   0.0890   0.0000
   0.2200   3.0894   0.0000   0.0000   0.6042   0.3797   0.0007   0.0154   0.0905   0.0000
   0.2250   3.0877   0.0000   0.0000   0.6078   0.3765   0.0007   0.0150   0.0920   0.0000
   0.2300   3.0992   0.0000   0.0000   0.6114   0.3733   0.0007   0.0147   0.0935   0.0000
   0.2350   3.0998   0.0000   0.0000   0.6149   0.3701   0.0007   0.0143   0.0950   0.0000
   0.2400   3.1045   0.0000   0.0000   0.6183   0.3670   0.0007   0.0140   0.0964   0.0000
   0.2450   3.1032   0.0000   0.0000   0.6217   0.3640   0.0007   0.0137   0.0977   0.0000
   0.2500   3.1109   0.0000   0.0000   0.6251   0.3610   0.0006   0.0133   0.0991   0.0000
   0.2550   3.1133   0.0000   0.0000   0.6283   0.3580   0.0006   0.0130   0.1004   0.0000
   0.2600   3.1099   0.0000   0.0000   0.6316   0.3551   0.0006   0.0127   0.1017   0.0000
   0.2650   3.1092   0.0000   0.0000   0.6348   0.3522   0.0006   0.0124   0.1029   0.0000
   0.2700   3.1086   0.0000   0.0000   0.6379   0.3493   0.0006   0.0121   0.1042   0.0000
   0.2750   3.1125   0.0000   0.0000   0.6410   0.3465   0.0006   0.0119   0.1053   0.0000
   0.2800   3.1099   0.0000   0.0000   0.6441   0.3437   0.0006   0.0116   0.1065   0.0000
   0.2850   3.1058   0.0000   0.0000   0.6471   0.3410   0.0006   0.0113   0.1077   0.0000
   0.2900   3.1068   0.0000   0.0000   0.6501   0.3383   0.0006   0.0110   0.1088   0.0000
   0.2950   3.1104   0.0000   0.0000   0.6531   0.3356   0.0006   0.0108   0.1099   0.0000
   0.3000   3.1138   0.0000   0.0000   0.6560   0.3329   0.0006   0.0105   0.1109   0.0000
