text_01.dat                                                                     
poles     0  0  1
       phi     theta      int
  -185.000     0.810     0.588
  -175.000     0.810     0.588
  -165.000     0.810     0.588
  -155.000     0.810     0.588
  -145.000     0.810     0.588
  -135.000     0.810     0.588
  -125.000     0.810     0.588
  -115.000     0.810     0.588
  -105.000     0.810     0.588
   -95.000     0.810     0.588
   -85.000     0.810     0.588
   -75.000     0.810     0.588
   -65.000     0.810     0.588
   -55.000     0.810     0.588
   -45.000     0.810     0.588
   -35.000     0.810     0.588
   -25.000     0.810     0.588
   -15.000     0.810     0.588
    -5.000     0.810     0.588
     5.000     0.810     0.588
    15.000     0.810     0.588
    25.000     0.810     0.588
    35.000     0.810     0.588
    45.000     0.810     0.588
    55.000     0.810     0.588
    65.000     0.810     0.588
    75.000     0.810     0.588
    85.000     0.810     0.588
    95.000     0.810     0.588
   105.000     0.810     0.588
   115.000     0.810     0.588
   125.000     0.810     0.588
   135.000     0.810     0.588
   145.000     0.810     0.588
   155.000     0.810     0.588
   165.000     0.810     0.588
   175.000     0.810     0.588
   185.000     0.810     0.588
  -185.000    10.798     0.412
  -175.000    10.798     0.408
  -165.000    10.798     0.722
  -155.000    10.798     0.453
  -145.000    10.798     0.404
  -135.000    10.798     0.565
  -125.000    10.798     0.453
  -115.000    10.798     0.469
  -105.000    10.798     0.745
   -95.000    10.798     0.437
   -85.000    10.798     0.440
   -75.000    10.798     0.762
   -65.000    10.798     0.485
   -55.000    10.798     0.479
   -45.000    10.798     0.606
   -35.000    10.798     0.437
   -25.000    10.798     0.491
   -15.000    10.798     0.781
    -5.000    10.798     0.436
     5.000    10.798     0.430
    15.000    10.798     0.752
    25.000    10.798     0.463
    35.000    10.798     0.400
    45.000    10.798     0.549
    55.000    10.798     0.429
    65.000    10.798     0.435
    75.000    10.798     0.684
    85.000    10.798     0.399
    95.000    10.798     0.402
   105.000    10.798     0.700
   115.000    10.798     0.448
   125.000    10.798     0.445
   135.000    10.798     0.566
   145.000    10.798     0.409
   155.000    10.798     0.462
   165.000    10.798     0.736
   175.000    10.798     0.412
   185.000    10.798     0.408
  -185.000    19.719     0.573
  -175.000    19.719     0.560
  -165.000    19.719     0.424
  -155.000    19.719     0.462
  -145.000    19.719     0.551
  -135.000    19.719     0.476
  -125.000    19.719     0.581
  -115.000    19.719     0.483
  -105.000    19.719     0.442
   -95.000    19.719     0.558
   -85.000    19.719     0.555
   -75.000    19.719     0.434
   -65.000    19.719     0.484
   -55.000    19.719     0.597
   -45.000    19.719     0.510
   -35.000    19.719     0.613
   -25.000    19.719     0.524
   -15.000    19.719     0.483
    -5.000    19.719     0.618
     5.000    19.719     0.598
    15.000    19.719     0.436
    25.000    19.719     0.454
    35.000    19.719     0.504
    45.000    19.719     0.402
    55.000    19.719     0.463
    65.000    19.719     0.377
    75.000    19.719     0.347
    85.000    19.719     0.456
    95.000    19.719     0.473
   105.000    19.719     0.386
   115.000    19.719     0.427
   125.000    19.719     0.529
   135.000    19.719     0.454
   145.000    19.719     0.552
   155.000    19.719     0.479
   165.000    19.719     0.443
   175.000    19.719     0.573
   185.000    19.719     0.560
  -185.000    28.966     0.453
  -175.000    28.966     0.441
  -165.000    28.966     0.449
  -155.000    28.966     0.421
  -145.000    28.966     0.507
  -135.000    28.966     0.484
  -125.000    28.966     0.435
  -115.000    28.966     0.417
  -105.000    28.966     0.373
   -95.000    28.966     0.351
   -85.000    28.966     0.335
   -75.000    28.966     0.330
   -65.000    28.966     0.357
   -55.000    28.966     0.375
   -45.000    28.966     0.458
   -35.000    28.966     0.529
   -25.000    28.966     0.476
   -15.000    28.966     0.524
    -5.000    28.966     0.498
     5.000    28.966     0.482
    15.000    28.966     0.474
    25.000    28.966     0.401
    35.000    28.966     0.423
    45.000    28.966     0.360
    55.000    28.966     0.319
    65.000    28.966     0.344
    75.000    28.966     0.400
    85.000    28.966     0.456
    95.000    28.966     0.487
   105.000    28.966     0.478
   115.000    28.966     0.444
   125.000    28.966     0.410
   135.000    28.966     0.423
   145.000    28.966     0.458
   155.000    28.966     0.413
   165.000    28.966     0.467
   175.000    28.966     0.453
   185.000    28.966     0.441
  -185.000    38.303     0.421
  -175.000    38.303     0.409
  -165.000    38.303     0.401
  -155.000    38.303     0.414
  -145.000    38.303     0.390
  -135.000    38.303     0.392
  -125.000    38.303     0.358
  -115.000    38.303     0.309
  -105.000    38.303     0.326
   -95.000    38.303     0.347
   -85.000    38.303     0.348
   -75.000    38.303     0.316
   -65.000    38.303     0.284
   -55.000    38.303     0.303
   -45.000    38.303     0.335
   -35.000    38.303     0.383
   -25.000    38.303     0.469
   -15.000    38.303     0.484
    -5.000    38.303     0.477
     5.000    38.303     0.467
    15.000    38.303     0.460
    25.000    38.303     0.437
    35.000    38.303     0.365
    45.000    38.303     0.354
    55.000    38.303     0.422
    65.000    38.303     0.540
    75.000    38.303     0.743
    85.000    38.303     0.973
    95.000    38.303     1.036
   105.000    38.303     0.899
   115.000    38.303     0.720
   125.000    38.303     0.570
   135.000    38.303     0.390
   145.000    38.303     0.310
   155.000    38.303     0.357
   165.000    38.303     0.399
   175.000    38.303     0.421
   185.000    38.303     0.409
  -185.000    47.678     0.378
  -175.000    47.678     0.370
  -165.000    47.678     0.442
  -155.000    47.678     0.378
  -145.000    47.678     0.338
  -135.000    47.678     0.286
  -125.000    47.678     0.300
  -115.000    47.678     0.383
  -105.000    47.678     0.602
   -95.000    47.678     0.694
   -85.000    47.678     0.764
   -75.000    47.678     0.797
   -65.000    47.678     0.577
   -55.000    47.678     0.454
   -45.000    47.678     0.326
   -35.000    47.678     0.356
   -25.000    47.678     0.446
   -15.000    47.678     0.556
    -5.000    47.678     0.438
     5.000    47.678     0.433
    15.000    47.678     0.556
