          S1          S2          D1          D2      angS      angD      angN
 -0.2772E+00  0.3980E+01  0.6790E-04  0.2513E+00     93.98     89.98     89.74
 -0.5214E-01  0.3971E+01  0.2199E-01  0.2521E+00     90.75     85.01     85.89
  0.1844E+00  0.3946E+01  0.4427E-01  0.2513E+00     87.32     80.01     81.97
  0.4248E+00  0.3904E+01  0.6663E-01  0.2489E+00     83.79     75.01     78.09
  0.6737E+00  0.3842E+01  0.8899E-01  0.2447E+00     80.05     70.01     74.28
  0.9508E+00  0.3753E+01  0.1110E+00  0.2383E+00     75.78     65.02     70.52
  0.1307E+01  0.3611E+01  0.1322E+00  0.2291E+00     70.11     60.00     66.14
  0.1809E+01  0.3355E+01  0.1515E+00  0.2164E+00     61.68     55.00     60.14
  0.2277E+01  0.3055E+01  0.1689E+00  0.2014E+00     53.29     50.02     55.56
  0.2706E+01  0.2741E+01  0.1835E+00  0.1836E+00     45.37     45.01     51.63
  0.3077E+01  0.2425E+01  0.1955E+00  0.1642E+00     38.24     40.02     44.66
  0.3322E+01  0.2143E+01  0.2073E+00  0.1452E+00     32.82     35.01     37.18
  0.3507E+01  0.1868E+01  0.2181E+00  0.1259E+00     28.04     30.01     30.20
  0.3653E+01  0.1575E+01  0.2279E+00  0.1063E+00     23.32     25.00     23.18
  0.3771E+01  0.1242E+01  0.2368E+00  0.8621E-01     18.22     20.01     15.70
  0.3849E+01  0.8574E+00  0.2451E+00  0.6571E-01     12.56     15.00      8.58
  0.3888E+01  0.4646E+00  0.2519E+00  0.4444E-01      6.81     10.01      3.55
  0.3898E+01  0.8366E-01  0.2560E+00  0.2242E-01      1.23      5.00     -0.51
  0.3883E+01 -0.2828E+00  0.2576E+00  0.1528E-03     -4.17      0.03     -4.35
  0.3844E+01 -0.6373E+00  0.2564E+00 -0.2225E-01     -9.41     -4.96     -8.06
  0.3784E+01 -0.9809E+00  0.2527E+00 -0.4435E-01    -14.53     -9.95    -11.72
  0.3703E+01 -0.1319E+01  0.2466E+00 -0.6583E-01    -19.61    -14.95    -15.69
  0.3596E+01 -0.1651E+01  0.2383E+00 -0.8671E-01    -24.67    -20.00    -20.42
  0.3472E+01 -0.1948E+01  0.2284E+00 -0.1064E+00    -29.29    -24.97    -25.31
  0.3338E+01 -0.2203E+01  0.2170E+00 -0.1251E+00    -33.43    -29.97    -30.11
  0.3201E+01 -0.2420E+01  0.2044E+00 -0.1429E+00    -37.10    -34.95    -34.98
  0.3052E+01 -0.2614E+01  0.1907E+00 -0.1598E+00    -40.58    -39.96    -40.03
  0.2885E+01 -0.2796E+01  0.1762E+00 -0.1759E+00    -44.11    -44.95    -45.28
  0.2662E+01 -0.2993E+01  0.1606E+00 -0.1912E+00    -48.36    -49.97    -50.76
  0.2308E+01 -0.3249E+01  0.1440E+00 -0.2055E+00    -54.61    -54.98    -56.15
  0.1650E+01 -0.3634E+01  0.1260E+00 -0.2180E+00    -65.58    -59.98    -63.57
  0.1304E+01 -0.3791E+01  0.1062E+00 -0.2273E+00    -71.02    -64.96    -68.67
  0.1074E+01 -0.3872E+01  0.8552E-01 -0.2346E+00    -74.49    -69.97    -73.42
  0.8766E+00 -0.3922E+01  0.6457E-01 -0.2405E+00    -77.40    -74.97    -77.99
  0.6861E+00 -0.3955E+01  0.4335E-01 -0.2453E+00    -80.16    -79.98    -82.27
  0.4896E+00 -0.3974E+01  0.2187E-01 -0.2489E+00    -82.98    -84.98    -86.33
  0.2772E+00 -0.3980E+01 -0.6790E-04 -0.2513E+00    -86.02    -90.02    -90.26
  0.5214E-01 -0.3971E+01 -0.2199E-01 -0.2521E+00    -89.25    -94.99    -94.11
 -0.1844E+00 -0.3946E+01 -0.4427E-01 -0.2513E+00    -92.68    -99.99    -98.03
 -0.4248E+00 -0.3904E+01 -0.6663E-01 -0.2489E+00    -96.21   -104.99   -101.91
 -0.6737E+00 -0.3842E+01 -0.8899E-01 -0.2447E+00    -99.95   -109.99   -105.72
 -0.9508E+00 -0.3753E+01 -0.1110E+00 -0.2383E+00   -104.22   -114.98   -109.48
 -0.1307E+01 -0.3611E+01 -0.1322E+00 -0.2291E+00   -109.89   -120.00   -113.86
 -0.1809E+01 -0.3355E+01 -0.1515E+00 -0.2164E+00   -118.32   -125.00   -119.86
 -0.2277E+01 -0.3055E+01 -0.1689E+00 -0.2014E+00   -126.71   -129.98   -124.44
 -0.2706E+01 -0.2741E+01 -0.1835E+00 -0.1836E+00   -134.63   -134.99   -128.37
 -0.3077E+01 -0.2425E+01 -0.1955E+00 -0.1642E+00   -141.76   -139.98   -135.34
 -0.3322E+01 -0.2143E+01 -0.2073E+00 -0.1452E+00   -147.18   -144.99   -142.82
 -0.3507E+01 -0.1868E+01 -0.2181E+00 -0.1259E+00   -151.96   -149.99   -149.80
 -0.3653E+01 -0.1575E+01 -0.2279E+00 -0.1063E+00   -156.68   -155.00   -156.82
 -0.3771E+01 -0.1242E+01 -0.2368E+00 -0.8621E-01   -161.78   -159.99   -164.30
 -0.3849E+01 -0.8574E+00 -0.2451E+00 -0.6571E-01   -167.44   -165.00   -171.42
 -0.3888E+01 -0.4646E+00 -0.2519E+00 -0.4444E-01   -173.19   -169.99   -176.45
 -0.3898E+01 -0.8366E-01 -0.2560E+00 -0.2242E-01   -178.77   -175.00   -181.33
 -0.3883E+01  0.2828E+00 -0.2576E+00 -0.1528E-03    175.83    180.03    176.44
