 STRAIN  AVACS  MODE1  MODE2  MODE3
   0.0000   8.6905   0.3266   0.2013   0.4721
   0.0200   8.7168   0.3260   0.2017   0.4724
   0.0400   8.7655   0.3254   0.2020   0.4725
   0.0600   8.8373   0.3251   0.2023   0.4726
   0.0800   8.8598   0.3251   0.2023   0.4725
   0.1000   8.8790   0.3253   0.2023   0.4724
   0.1200   8.9000   0.3256   0.2021   0.4723
   0.1400   8.9550   0.3260   0.2018   0.4721
   0.1600   8.9858   0.3266   0.2014   0.4720
   0.1800   9.0462   0.3272   0.2009   0.4718
   0.2000   9.1392   0.3280   0.2004   0.4716
   0.2200   9.2176   0.3289   0.1998   0.4713
   0.2400   9.2487   0.3299   0.1992   0.4709
   0.2600   9.2883   0.3307   0.1986   0.4706
   0.2800   9.3073   0.3315   0.1981   0.4704
   0.3000   9.3758   0.3322   0.1976   0.4701
   0.3200   9.3830   0.3330   0.1971   0.4699
   0.3400   9.4245   0.3337   0.1966   0.4698
   0.3600   9.4581   0.3343   0.1960   0.4696
   0.3800   9.4792   0.3351   0.1955   0.4694
   0.4000   9.4921   0.3358   0.1949   0.4692
   0.4200   9.5415   0.3367   0.1943   0.4690
   0.4400   9.5909   0.3375   0.1937   0.4687
   0.4600   9.5847   0.3384   0.1932   0.4684
   0.4800   9.6022   0.3393   0.1926   0.4681
   0.5000   9.6353   0.3403   0.1920   0.4677
   0.5200   9.6558   0.3412   0.1914   0.4674
   0.5400   9.6774   0.3422   0.1909   0.4670
   0.5600   9.6946   0.3431   0.1903   0.4666
   0.5800   9.7088   0.3441   0.1898   0.4662
   0.6000   9.6901   0.3450   0.1892   0.4657
   0.6200   9.7013   0.3460   0.1887   0.4653
   0.6400   9.7016   0.3469   0.1882   0.4649
   0.6600   9.6867   0.3478   0.1877   0.4645
   0.6800   9.6726   0.3487   0.1872   0.4641
   0.7000   9.6839   0.3496   0.1867   0.4637
   0.7200   9.6803   0.3505   0.1862   0.4633
   0.7400   9.6636   0.3513   0.1857   0.4630
   0.7600   9.6563   0.3521   0.1853   0.4626
   0.7800   9.6653   0.3528   0.1848   0.4623
   0.8000   9.6779   0.3535   0.1844   0.4620
   0.8200   9.6815   0.3542   0.1841   0.4618
   0.8400   9.6880   0.3548   0.1837   0.4615
   0.8600   9.6831   0.3553   0.1834   0.4613
   0.8800   9.6734   0.3558   0.1831   0.4611
   0.9000   9.6939   0.3563   0.1828   0.4609
   0.9200   9.6776   0.3567   0.1825   0.4607
   0.9400   9.6517   0.3563   0.1828   0.4609
   0.9600   9.6468   0.3566   0.1826   0.4608
   0.9800   9.6261   0.3568   0.1825   0.4607
   1.0000   9.6032   0.3570   0.1824   0.4606
    STEP   AVACS   MODE1   MODE2   MODE3
       1  10.866   0.091   0.364   0.545
       2  11.119   0.098   0.359   0.543
       3  10.766   0.126   0.335   0.539
       4  10.557   0.176   0.296   0.529
       5  10.216   0.241   0.251   0.508
       6  10.120   0.311   0.209   0.480
       7   9.614   0.357   0.182   0.461
       8   9.504   0.342   0.190   0.468
       9   9.754   0.289   0.224   0.488
      10   9.780   0.232   0.262   0.506
      11   9.384   0.189   0.292   0.519
      12   9.083   0.167   0.306   0.527
      13   9.017   0.173   0.299   0.528
      14   8.592   0.207   0.272   0.520
      15   9.029   0.270   0.230   0.500
      16   9.099   0.349   0.182   0.469
      17   8.911   0.415   0.148   0.438
      18   8.972   0.441   0.136   0.424
      19   9.002   0.419   0.147   0.434
      20   9.143   0.359   0.179   0.462
      21   9.367   0.281   0.224   0.495
      22   9.316   0.207   0.273   0.520
      23   9.219   0.154   0.314   0.532
      24   9.309   0.134   0.332   0.535
      25   9.398   0.141   0.325   0.533
      26   9.254   0.170   0.303   0.527
      27   9.056   0.211   0.273   0.516
      28   8.918   0.257   0.243   0.500
      29   8.833   0.300   0.218   0.482
      30   8.562   0.327   0.204   0.469
      31   8.636   0.310   0.217   0.473
      32   9.143   0.260   0.245   0.495
      33  10.152   0.209   0.274   0.517
      34  10.458   0.164   0.303   0.533
      35  10.662   0.127   0.331   0.542
      36  10.854   0.102   0.352   0.546
    STEP   AVACS   MODE1   MODE2   MODE3
       1   9.085   0.167   0.304   0.529
       2   9.022   0.184   0.293   0.524
       3   8.689   0.216   0.271   0.514
       4   8.923   0.244   0.251   0.505
       5   9.049   0.254   0.244   0.502
       6   8.851   0.238   0.254   0.507
       7   8.717   0.201   0.281   0.518
       8   8.770   0.169   0.305   0.525
       9   9.095   0.140   0.326   0.534
      10   9.326   0.133   0.332   0.535
