    EPS    OTH     CU     BR      S    GOS    CUB    ROT AVMISO
 0.0000   76.6    2.6    4.4    8.4    1.0    2.8    4.2   21.1
 0.0200   78.8    2.2    4.2    7.6    0.6    2.6    4.0   21.6
 0.0400   80.6    2.2    3.8    6.8    0.4    2.4    3.8   22.1
 0.0600   82.4    2.2    2.8    6.8    0.4    2.2    3.2   22.5
 0.0800   84.2    2.0    2.4    5.6    0.2    2.2    3.4   22.9
 0.1000   84.8    2.0    2.2    5.2    0.2    2.2    3.4   23.3
 0.1200   86.4    2.0    2.0    4.2    0.2    2.0    3.2   23.6
 0.1400   88.2    1.6    2.0    3.2    0.2    2.2    2.6   24.0
 0.1600   89.6    1.2    1.6    2.6    0.2    2.2    2.6   24.3
 0.1800   90.8    1.2    1.6    2.0    0.2    2.0    2.2   24.6
 0.2000   92.0    0.8    1.2    1.8    0.2    2.0    2.0   24.9
 0.2200   92.8    0.6    0.8    1.6    0.2    2.0    2.0   25.2
 0.2400   93.8    0.6    0.6    1.2    0.2    2.0    1.6   25.4
 0.2600   94.0    0.4    0.6    1.2    0.2    2.4    1.2   25.6
 0.2800   94.4    0.4    0.6    1.2    0.2    2.2    1.0   25.8
 0.3000   94.6    0.4    0.6    1.2    0.0    2.2    1.0   25.9
 0.3200   94.8    0.4    0.6    1.2    0.0    2.2    0.8   26.1
 0.3400   94.6    0.4    0.6    1.2    0.0    2.4    0.8   26.2
 0.3600   95.0    0.2    0.6    1.0    0.0    2.4    0.8   26.4
 0.3800   95.2    0.2    0.4    1.0    0.0    2.4    0.8   26.5
 0.4000   95.8    0.2    0.2    0.6    0.0    2.4    0.8   26.6
 0.4200   96.2    0.2    0.2    0.4    0.0    2.4    0.6   26.7
 0.4400   96.6    0.2    0.2    0.4    0.0    2.4    0.2   26.8
 0.4600   96.6    0.2    0.2    0.4    0.0    2.4    0.2   26.8
 0.4800   97.0    0.0    0.2    0.2    0.0    2.4    0.2   26.9
 0.5000   97.0    0.0    0.2    0.2    0.0    2.4    0.2   26.9
 0.5200   96.8    0.0    0.2    0.2    0.0    2.6    0.2   26.9
 0.5400   97.2    0.0    0.2    0.2    0.0    2.4    0.0   26.9
 0.5600   97.2    0.0    0.2    0.2    0.0    2.4    0.0   27.0
 0.5800   97.6    0.0    0.0    0.2    0.0    2.2    0.0   27.0
 0.6000   97.4    0.0    0.0    0.2    0.0    2.4    0.0   27.0
 0.6200   97.6    0.0    0.0    0.2    0.0    2.2    0.0   27.0
 0.6400   97.6    0.0    0.0    0.2    0.0    2.2    0.0   27.0
 0.6600   97.8    0.0    0.0    0.0    0.0    2.2    0.0   27.0
 0.6800   97.8    0.0    0.0    0.0    0.0    2.2    0.0   26.9
 0.7000   97.8    0.0    0.0    0.0    0.0    2.2    0.0   26.9
 0.7200   97.8    0.0    0.0    0.0    0.0    2.2    0.0   26.9
 0.7400   97.6    0.0    0.0    0.0    0.0    2.4    0.0   26.9
 0.7600   97.6    0.0    0.0    0.0    0.0    2.4    0.0   26.8
 0.7800   97.6    0.0    0.0    0.0    0.0    2.4    0.0   26.8
 0.8000   97.6    0.0    0.0    0.0    0.0    2.4    0.0   26.8
 0.8200   97.6    0.0    0.0    0.0    0.0    2.4    0.0   26.7
 0.8400   97.6    0.0    0.0    0.0    0.0    2.4    0.0   26.7
 0.8600   97.6    0.0    0.0    0.0    0.0    2.4    0.0   26.7
 0.8800   97.4    0.0    0.0    0.0    0.0    2.6    0.0   26.6
 0.9000   97.6    0.0    0.0    0.0    0.0    2.4    0.0   26.6
 0.9200   97.8    0.0    0.0    0.0    0.0    2.2    0.0   26.6
 0.9400   97.6    0.0    0.0    0.0    0.0    2.4    0.0   26.5
 0.9600   97.8    0.0    0.0    0.0    0.0    2.2    0.0   26.5
 0.9800   97.8    0.0    0.0    0.0    0.0    2.2    0.0   26.4
 1.0000   98.0    0.0    0.0    0.0    0.0    2.0    0.0   26.4
