   STRAIN    AVACS    PRITW    SECTW    MODE1    MODE2    MODE3    MODE4    TWFR3    EFFR3    TWFR4    EFFR4
   0.0000   3.5098   0.0000   0.0000   0.6112   0.0002   0.1987   0.1900   0.0000   0.0000   0.0000   0.0000
   0.0100   3.4244   0.0010   0.0000   0.5283   0.0025   0.2539   0.2154   0.0327   0.0000   0.0232   0.0010
   0.0200   3.4270   0.0270   0.0000   0.5015   0.0075   0.2652   0.2258   0.0755   0.0160   0.0502   0.0110
   0.0300   3.4673   0.0890   0.0000   0.4967   0.0146   0.2572   0.2315   0.1209   0.0550   0.0788   0.0340
   0.0400   3.6111   0.1850   0.0000   0.4989   0.0262   0.2395   0.2354   0.1650   0.1150   0.1083   0.0700
   0.0500   3.8810   0.3030   0.0000   0.5070   0.0473   0.2177   0.2281   0.2060   0.1870   0.1382   0.1160
   0.0600   4.0964   0.3970   0.0000   0.5091   0.0777   0.2014   0.2119   0.2430   0.2440   0.1670   0.1530
   0.0700   4.2221   0.4580   0.0000   0.5104   0.1003   0.1961   0.1932   0.2769   0.2770   0.1935   0.1810
   0.0800   4.3131   0.5030   0.0150   0.5123   0.1245   0.1902   0.1729   0.3094   0.3100   0.2172   0.2080
   0.0900   4.4263   0.5530   0.0200   0.5061   0.1525   0.1860   0.1554   0.3405   0.3410   0.2382   0.2320
   0.1000   4.4476   0.5760   0.0520   0.5041   0.1783   0.1819   0.1357   0.3704   0.3710   0.2567   0.2570
   0.1100   4.5017   0.5960   0.0770   0.4943   0.2056   0.1758   0.1243   0.3996   0.4000   0.2729   0.2730
   0.1200   4.4979   0.6110   0.1050   0.4870   0.2314   0.1708   0.1108   0.4275   0.4280   0.2876   0.2880
   0.1300   4.4680   0.6250   0.1310   0.4792   0.2562   0.1659   0.0988   0.4546   0.4550   0.3006   0.3010
   0.1400   4.4138   0.6370   0.1570   0.4707   0.2803   0.1611   0.0879   0.4809   0.4810   0.3122   0.3130
   0.1500   4.3691   0.6510   0.1790   0.4604   0.3057   0.1548   0.0790   0.5063   0.5070   0.3225   0.3230
