          Evm          Svm          E11          E22          E33          E23          E13          E12             SCAU11       SCAU22       SCAU33       SCAU23       SCAU13       SCAU12      TEMP      TIME    TAYLAV      WORKAV
  0.00000E+00  0.42655E+03     0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00    -0.42632E+03  0.00000E+00  0.00000E+00 -0.18949E+01 -0.19088E+01  0.75528E+01      298.      0.00     7.732  0.1914E+01
  0.99947E-02  0.56777E+03    -0.10000E-01  0.47450E-02  0.52550E-02  0.00000E+00  0.00000E+00  0.00000E+00    -0.56746E+03  0.00000E+00  0.00000E+00 -0.32547E+01 -0.23817E+01  0.99939E+01      298.     10.00     5.071  0.5035E+01
  0.19989E-01  0.65363E+03    -0.20000E-01  0.95236E-02  0.10476E-01  0.00000E+00  0.00000E+00  0.00000E+00    -0.65330E+03  0.00000E+00  0.00000E+00 -0.36978E+01 -0.60405E+00  0.11327E+02      298.     20.00     4.442  0.8773E+01
  0.29984E-01  0.70870E+03    -0.30000E-01  0.14328E-01  0.15672E-01  0.00000E+00  0.00000E+00  0.00000E+00    -0.70823E+03  0.00000E+00  0.00000E+00 -0.32824E+01 -0.19409E+01  0.14276E+02      298.     30.00     4.242  0.1290E+02
  0.39978E-01  0.75160E+03    -0.40000E-01  0.19175E-01  0.20825E-01  0.00000E+00  0.00000E+00  0.00000E+00    -0.75130E+03  0.00000E+00  0.00000E+00 -0.52255E+01 -0.38267E+01  0.10328E+02      298.     40.00     4.189  0.1735E+02
  0.49974E-01  0.78943E+03    -0.50000E-01  0.24032E-01  0.25968E-01  0.00000E+00  0.00000E+00  0.00000E+00    -0.78920E+03  0.00000E+00  0.00000E+00 -0.53510E+01 -0.50235E+01  0.80631E+01      298.     50.00     4.173  0.2211E+02
  0.59971E-01  0.81873E+03    -0.60000E-01  0.28846E-01  0.31154E-01  0.00000E+00  0.00000E+00  0.00000E+00    -0.81852E+03  0.00000E+00  0.00000E+00 -0.70507E+01 -0.43477E+01  0.70907E+01      298.     60.00     4.174  0.2711E+02
  0.69968E-01  0.82881E+03    -0.70000E-01  0.33659E-01  0.36341E-01  0.00000E+00  0.00000E+00  0.00000E+00    -0.82857E+03  0.00000E+00  0.00000E+00 -0.49978E+01 -0.65360E+01  0.81247E+01      298.     70.00     4.124  0.3224E+02
  0.79965E-01  0.83837E+03    -0.80000E-01  0.38465E-01  0.41535E-01  0.00000E+00  0.00000E+00  0.00000E+00    -0.83819E+03  0.00000E+00  0.00000E+00 -0.40789E+01  0.22015E+00  0.93252E+01      298.     80.00     4.104  0.3750E+02
  0.89963E-01  0.84369E+03    -0.90000E-01  0.43271E-01  0.46729E-01  0.00000E+00  0.00000E+00  0.00000E+00    -0.84354E+03  0.00000E+00  0.00000E+00 -0.34730E+01 -0.39349E+01  0.73341E+01      298.     90.00     4.055  0.4288E+02
  0.99961E-01  0.85854E+03    -0.10000E+00  0.48105E-01  0.51895E-01  0.00000E+00  0.00000E+00  0.00000E+00    -0.85830E+03  0.00000E+00  0.00000E+00 -0.43798E+01 -0.64752E+01  0.87331E+01      298.    100.00     4.084  0.4842E+02
  0.10996E+00  0.87388E+03    -0.11000E+00  0.52983E-01  0.57017E-01  0.00000E+00  0.00000E+00  0.00000E+00    -0.87362E+03  0.00000E+00  0.00000E+00 -0.41042E+01 -0.59774E+01  0.10006E+02      298.    110.00     4.110  0.5416E+02
  0.11996E+00  0.88880E+03    -0.12000E+00  0.57855E-01  0.62145E-01  0.00000E+00  0.00000E+00  0.00000E+00    -0.88844E+03  0.00000E+00  0.00000E+00 -0.49563E+01 -0.69659E+01  0.12013E+02      298.    120.00     4.143  0.6008E+02
  0.12995E+00  0.90281E+03    -0.13000E+00  0.62714E-01  0.67286E-01  0.00000E+00  0.00000E+00  0.00000E+00    -0.90247E+03  0.00000E+00  0.00000E+00 -0.40804E+01 -0.75911E+01  0.11310E+02      298.    130.00     4.176  0.6616E+02
  0.13995E+00  0.91601E+03    -0.14000E+00  0.67581E-01  0.72419E-01  0.00000E+00  0.00000E+00  0.00000E+00    -0.91565E+03  0.00000E+00  0.00000E+00 -0.45077E+01 -0.55082E+01  0.13097E+02      298.    140.00     4.205  0.7242E+02
  0.14994E+00  0.93010E+03    -0.15000E+00  0.72424E-01  0.77576E-01  0.00000E+00  0.00000E+00  0.00000E+00    -0.92970E+03  0.00000E+00  0.00000E+00 -0.41102E+01 -0.72294E+01  0.13268E+02      298.    150.00     4.238  0.7887E+02
