        EPSvm          Svm        SDEV1    SDEV2    SDEV3    SDEV4    SDEV5    SDEV6        DDEV1    DDEV2    DDEV3    DDEV4    DDEV5    DDEV6
  0.00000E+00  0.42655E+03        0.359    0.302    0.279    0.278    0.290    0.010        0.361    0.298    0.270    0.268    0.277    0.000
  0.99947E-02  0.56777E+03        0.286    0.243    0.228    0.273    0.281    0.010        0.313    0.261    0.237    0.286    0.292    0.000
  0.19989E-01  0.65363E+03        0.264    0.227    0.213    0.274    0.276    0.010        0.301    0.251    0.228    0.298    0.300    0.000
  0.29984E-01  0.70870E+03        0.252    0.216    0.204    0.266    0.267    0.010        0.304    0.251    0.229    0.306    0.307    0.000
  0.39978E-01  0.75160E+03        0.240    0.210    0.197    0.256    0.253    0.010        0.309    0.258    0.233    0.313    0.310    0.000
  0.49974E-01  0.78943E+03        0.228    0.204    0.190    0.238    0.238    0.010        0.317    0.271    0.241    0.317    0.316    0.000
  0.59971E-01  0.81873E+03        0.227    0.201    0.189    0.224    0.226    0.009        0.328    0.277    0.247    0.310    0.312    0.000
  0.69968E-01  0.82881E+03        0.232    0.205    0.190    0.214    0.215    0.009        0.338    0.282    0.246    0.299    0.300    0.000
  0.79965E-01  0.83837E+03        0.234    0.205    0.191    0.207    0.206    0.009        0.342    0.283    0.246    0.290    0.289    0.000
  0.89963E-01  0.84369E+03        0.236    0.206    0.190    0.203    0.201    0.009        0.341    0.277    0.240    0.281    0.279    0.000
  0.99961E-01  0.85854E+03        0.229    0.203    0.189    0.201    0.198    0.009        0.336    0.274    0.239    0.283    0.280    0.000
  0.10996E+00  0.87388E+03        0.216    0.199    0.185    0.196    0.198    0.009        0.323    0.274    0.237    0.284    0.288    0.000
  0.11996E+00  0.88880E+03        0.207    0.194    0.182    0.192    0.195    0.009        0.317    0.272    0.237    0.287    0.291    0.000
  0.12995E+00  0.90281E+03        0.200    0.188    0.180    0.188    0.193    0.008        0.311    0.266    0.236    0.287    0.296    0.000
  0.13995E+00  0.91601E+03        0.193    0.184    0.177    0.184    0.190    0.008        0.304    0.263    0.235    0.289    0.298    0.000
  0.14994E+00  0.93010E+03        0.182    0.179    0.174    0.182    0.187    0.008        0.292    0.258    0.233    0.293    0.302    0.000
