   STRAIN    AVACS    MODE1
   0.0000   3.4522   1.0000
   0.0231   3.4559   1.0000
   0.0464   3.4357   1.0000
   0.0703   3.4408   1.0000
   0.0950   3.4794   1.0000
   0.1207   3.5029   1.0000
   0.1474   3.5187   1.0000
   0.1749   3.5493   1.0000
   0.2031   3.5784   1.0000
   0.2318   3.6302   1.0000
   0.2607   3.7029   1.0000
   0.2897   3.7936   1.0000
   0.3184   3.8913   1.0000
   0.3469   4.0287   1.0000
   0.3748   4.1389   1.0000
   0.4020   4.2018   1.0000
   0.4284   4.2499   1.0000
   0.4539   4.2792   1.0000
   0.4782   4.3138   1.0000
   0.5015   4.3122   1.0000
   0.5235   4.2772   1.0000
   0.5444   4.1309   1.0000
   0.5641   3.8669   1.0000
   0.5830   3.4836   1.0000
   0.6015   3.4548   1.0000
   0.6204   3.6253   1.0000
   0.6395   3.7119   1.0000
   0.6593   3.6830   1.0000
   0.6803   3.6091   1.0000
   0.7027   3.5721   1.0000
   0.7270   3.5215   1.0000
   0.7533   3.4433   1.0000
   0.7817   3.3852   1.0000
   0.8122   3.3386   1.0000
   0.8447   3.3306   1.0000
   0.8788   3.3284   1.0000
   0.9142   3.3210   1.0000
   0.9505   3.3484   1.0000
   0.9873   3.4058   1.0000
   1.0241   3.4277   1.0000
   1.0604   3.3921   1.0000
   1.0958   3.3583   1.0000
   1.1300   3.3468   1.0000
   1.1627   3.3653   1.0000
   1.1938   3.3814   1.0000
   1.2230   3.3631   1.0000
   1.2504   3.2965   1.0000
   1.2761   3.2330   1.0000
   1.3002   3.2053   1.0000
   1.3229   3.2833   1.0000
   1.3447   3.4075   1.0000
    STEP   AVACS   MODE1
       1   4.256   1.000
       2   4.250   1.000
       3   4.186   1.000
       4   4.072   1.000
       5   3.862   1.000
       6   3.538   1.000
       7   3.429   1.000
       8   3.599   1.000
       9   3.653   1.000
      10   3.661   1.000
      11   3.610   1.000
      12   3.603   1.000
      13   3.642   1.000
      14   3.675   1.000
      15   3.658   1.000
      16   3.667   1.000
      17   3.605   1.000
      18   3.464   1.000
      19   3.400   1.000
      20   3.373   1.000
      21   3.497   1.000
      22   3.592   1.000
      23   3.723   1.000
      24   3.802   1.000
      25   3.827   1.000
      26   3.851   1.000
      27   3.814   1.000
      28   3.749   1.000
      29   3.600   1.000
      30   3.504   1.000
      31   3.529   1.000
      32   3.683   1.000
      33   3.881   1.000
      34   4.070   1.000
      35   4.171   1.000
      36   4.208   1.000
    STEP   AVACS   MODE1
       1   3.601   1.000
       2   3.613   1.000
       3   3.720   1.000
       4   3.812   1.000
       5   3.865   1.000
       6   3.827   1.000
       7   3.838   1.000
       8   3.879   1.000
       9   3.895   1.000
      10   3.840   1.000
