 ANGLE     YOUNG     LANKF       D(1,1)    D(2,2)    D(3,3)    D(1,2)       S(1,1)    S(1,2)
   0.0     221.6      0.46       0.8165   -0.2588   -0.5577    0.0000       13.088     0.096
  10.0     218.4      0.53       0.8165   -0.2827   -0.5338    0.0000       12.957    -0.155
  20.0     207.8      0.74       0.8165   -0.3468   -0.4697    0.0000       12.634    -0.323
  30.0     195.7      1.15       0.8165   -0.4362   -0.3803    0.0000       12.277    -0.365
  40.0     187.4      1.74       0.8165   -0.5181   -0.2984    0.0000       12.083    -0.226
  50.0     185.3      2.28       0.8165   -0.5676   -0.2489    0.0000       12.059     0.047
  60.0     190.0      2.04       0.8165   -0.5483   -0.2682    0.0000       12.261     0.344
  70.0     199.6      1.39       0.8165   -0.4748   -0.3417    0.0000       12.515     0.367
  80.0     210.1      1.09       0.8165   -0.4263   -0.3902    0.0000       12.742     0.281
  90.0     216.0      1.04       0.8165   -0.4160   -0.4004    0.0000       12.851     0.099
