    EPS    OTH     CU     BR      S    GOS    CUB AVMISO
 0.0000   80.6    2.6    4.4    8.4    1.0    3.0   22.0
 0.0231   78.0    3.2    4.8    9.8    1.2    3.0   21.5
 0.0464   77.2    3.4    5.4    9.8    1.2    3.0   21.1
 0.0703   75.8    3.8    5.8   10.2    1.4    3.0   20.6
 0.0950   73.2    4.8    6.4   11.2    1.4    3.0   20.2
 0.1207   70.6    4.8    7.2   13.0    1.4    3.0   19.8
 0.1474   68.6    5.4    7.6   14.2    1.2    3.0   19.4
 0.1749   65.6    6.2    8.6   14.6    1.8    3.2   19.0
 0.2031   63.4    6.8    9.2   15.2    2.0    3.4   18.6
 0.2318   61.8    7.2    9.6   16.0    2.0    3.4   18.2
 0.2607   60.4    7.8    9.8   16.6    2.0    3.4   17.8
 0.2897   58.6    8.2   10.8   17.0    2.0    3.4   17.4
 0.3184   56.6    8.8   10.8   18.2    2.0    3.6   17.0
 0.3469   54.8    9.8   11.4   18.4    2.0    3.6   16.7
 0.3748   51.8   10.8   12.0   19.4    2.4    3.6   16.3
 0.4020   49.4   11.2   12.2   20.8    2.6    3.8   15.9
 0.4284   48.0   11.2   12.8   21.6    2.8    3.6   15.6
 0.4539   45.8   12.2   13.6   22.0    2.8    3.6   15.3
 0.4782   43.8   13.4   14.0   22.4    2.8    3.6   14.9
 0.5015   42.0   14.4   14.4   22.8    2.8    3.6   14.6
 0.5235   40.6   14.4   15.0   23.6    2.8    3.6   14.3
 0.5444   39.8   15.0   15.4   23.2    3.0    3.6   14.0
 0.5641   38.6   15.4   15.4   24.0    3.0    3.6   13.8
 0.5830   36.8   15.6   15.6   25.0    3.2    3.8   13.5
 0.6015   35.6   16.2   15.6   25.2    3.2    4.2   13.3
 0.6204   35.4   16.6   15.2   25.8    3.0    4.0   13.2
 0.6395   35.8   16.6   15.2   25.4    3.0    4.0   13.2
 0.6593   35.8   16.4   15.2   25.4    3.0    4.2   13.3
 0.6803   36.4   16.4   15.0   25.2    2.6    4.4   13.4
 0.7027   37.0   16.6   14.4   24.8    2.6    4.6   13.6
 0.7270   37.8   16.4   14.2   24.2    2.6    4.8   13.8
 0.7533   39.4   16.2   13.8   23.2    2.4    5.0   14.0
 0.7817   42.2   15.8   13.8   21.6    1.4    5.2   14.3
 0.8122   44.4   15.0   13.0   21.4    1.2    5.0   14.7
 0.8447   47.4   14.4   11.4   20.8    0.8    5.2   15.2
 0.8788   49.8   13.8   10.8   19.8    0.6    5.2   15.8
 0.9142   54.0   13.2    9.2   18.0    0.2    5.4   16.5
 0.9505   59.2   11.2    6.2   18.0    0.2    5.2   17.3
 0.9873   61.8   10.8    5.2   17.0    0.2    5.0   18.0
 1.0241   66.4   10.6    4.6   13.4    0.0    5.0   18.8
 1.0604   69.6   10.0    3.6   12.2    0.0    4.6   19.5
 1.0958   71.0    9.8    3.4   11.4    0.0    4.4   20.0
 1.1300   72.0   10.0    3.0   10.6    0.0    4.4   20.4
 1.1627   72.6   10.0    2.4   11.0    0.0    4.0   20.6
 1.1938   72.0   10.4    2.2   11.4    0.0    4.0   20.5
 1.2230   71.2   10.8    2.2   12.2    0.0    3.6   20.3
 1.2504   68.8   11.8    2.4   13.2    0.0    3.8   19.8
 1.2761   66.2   12.2    3.6   14.0    0.2    3.8   19.2
 1.3002   63.0   12.2    4.8   15.4    0.6    4.0   18.6
 1.3229   60.8   12.6    6.4   15.8    0.6    3.8   18.0
 1.3447   58.2   12.8    7.4   17.0    0.8    3.8   17.6
