   STRAIN    AVACS    MODE1
   0.0000   3.0321   1.0000
   0.0200   3.0325   1.0000
   0.0400   3.0225   1.0000
   0.0600   3.0431   1.0000
   0.0800   3.0571   1.0000
   0.1000   3.1091   1.0000
   0.1200   3.1592   1.0000
   0.1400   3.1743   1.0000
   0.1600   3.1811   1.0000
   0.1800   3.2148   1.0000
   0.2000   3.2343   1.0000
   0.2200   3.2519   1.0000
   0.2400   3.2761   1.0000
   0.2600   3.2809   1.0000
   0.2800   3.2916   1.0000
   0.3000   3.3067   1.0000
   0.3200   3.3241   1.0000
   0.3400   3.3375   1.0000
   0.3600   3.3511   1.0000
   0.3800   3.3651   1.0000
   0.4000   3.3828   0.9999
   0.4200   3.3939   0.9999
   0.4400   3.4279   0.9998
   0.4600   3.4441   0.9997
   0.4800   3.4433   0.9994
   0.5000   3.4628   0.9989
   0.5200   3.4690   0.9980
   0.5400   3.4873   0.9964
   0.5600   3.4991   0.9937
   0.5800   3.5007   0.9892
   0.6000   3.5044   0.9832
   0.6200   3.5012   0.9752
   0.6400   3.5009   0.9658
   0.6600   3.4927   0.9545
   0.6800   3.4943   0.9434
   0.7000   3.4943   0.9321
   0.7200   3.4993   0.9210
   0.7400   3.5037   0.9106
   0.7600   3.4974   0.9002
   0.7800   3.5013   0.8907
   0.8000   3.4984   0.8813
   0.8200   3.4971   0.8729
   0.8400   3.4981   0.8647
   0.8600   3.4894   0.8657
   0.8800   3.4848   0.8664
   0.9000   3.4741   0.8668
   0.9200   3.4684   0.8670
   0.9400   3.4598   0.8680
   0.9600   3.4600   0.8684
   0.9800   3.4561   0.8687
   1.0000   3.4534   0.8691
    STEP   AVACS   MODE1
       1   4.848   0.952
       2   4.851   0.943
       3   4.769   0.933
       4   4.662   0.921
       5   4.528   0.907
       6   4.440   0.890
       7   3.453   0.869
       8   3.678   0.855
       9   4.738   0.859
      10   4.880   0.864
      11   4.891   0.866
      12   4.934   0.866
      13   4.921   0.866
      14   4.904   0.865
      15   4.909   0.863
      16   4.829   0.860
      17   4.711   0.856
      18   4.228   0.851
      19   3.906   0.844
      20   3.206   0.828
      21   3.005   0.812
      22   3.542   0.849
      23   3.666   0.880
      24   3.680   0.905
      25   3.849   0.928
      26   3.836   0.948
      27   3.787   0.967
      28   3.807   0.983
      29   3.815   0.995
      30   3.684   1.000
      31   3.659   1.000
      32   3.782   1.000
      33   3.935   0.991
      34   3.894   0.968
      35   4.335   0.965
      36   4.481   0.959
    STEP   AVACS   MODE1
       1   4.906   0.866
       2   4.923   0.866
       3   4.765   0.878
       4   4.691   0.902
       5   3.966   0.916
       6   3.723   0.942
       7   3.884   0.994
       8   3.854   0.998
       9   3.925   0.999
      10   3.762   0.999
