   STRAIN    AVACS    MODE1
   0.0000   1.2707   0.0000
   0.0200   1.2706   0.0000
   0.0400   1.2657   0.0000
   0.0600   1.2581   0.0000
   0.0800   1.2589   0.0000
   0.1000   1.2588   0.0000
   0.1200   1.2604   0.0000
   0.1400   1.2602   0.0000
   0.1600   1.2622   0.0000
   0.1800   1.2623   0.0000
   0.2000   1.2600   0.0000
   0.2200   1.2619   0.0000
   0.2400   1.2657   0.0000
   0.2600   1.2622   0.0000
   0.2800   1.2644   0.0000
   0.3000   1.2984   0.0000
   0.3200   1.3101   0.0000
   0.3400   1.3126   0.0000
   0.3600   1.3055   0.0000
   0.3800   1.3045   0.0000
   0.4000   1.3056   0.0001
   0.4200   1.3082   0.0001
   0.4400   1.3120   0.0002
   0.4600   1.3135   0.0003
   0.4800   1.3178   0.0006
   0.5000   1.3123   0.0011
   0.5200   1.3156   0.0020
   0.5400   1.3213   0.0036
   0.5600   1.3375   0.0063
   0.5800   1.3526   0.0108
   0.6000   1.3770   0.0168
   0.6200   1.4108   0.0248
   0.6400   1.4521   0.0342
   0.6600   1.4770   0.0455
   0.6800   1.5154   0.0566
   0.7000   1.5379   0.0679
   0.7200   1.5645   0.0790
   0.7400   1.5899   0.0894
   0.7600   1.6255   0.0998
   0.7800   1.6502   0.1093
   0.8000   1.6723   0.1187
   0.8200   1.6909   0.1271
   0.8400   1.7291   0.1353
   0.8600   1.7598   0.1343
   0.8800   1.7797   0.1336
   0.9000   1.8122   0.1332
   0.9200   1.8544   0.1330
   0.9400   1.8744   0.1320
   0.9600   1.8934   0.1316
   0.9800   1.9154   0.1313
   1.0000   1.9395   0.1309
    STEP   AVACS   MODE1
       1   1.746   0.048
       2   1.766   0.057
       3   1.782   0.067
       4   1.793   0.079
       5   1.814   0.093
       6   1.837   0.110
       7   1.941   0.131
       8   2.236   0.145
       9   2.217   0.141
      10   2.180   0.136
      11   2.123   0.134
      12   2.069   0.134
      13   2.007   0.134
      14   1.937   0.135
      15   1.857   0.137
      16   1.813   0.140
      17   1.765   0.144
      18   1.706   0.149
      19   1.637   0.156
      20   1.583   0.172
      21   1.601   0.188
      22   1.559   0.151
      23   1.524   0.120
      24   1.488   0.095
      25   1.456   0.072
      26   1.422   0.052
      27   1.375   0.033
      28   1.367   0.017
      29   1.419   0.005
      30   2.001   0.000
      31   1.332   0.000
      32   2.192   0.000
      33   1.678   0.009
      34   1.768   0.032
      35   1.752   0.035
      36   1.739   0.041
    STEP   AVACS   MODE1
       1   2.120   0.134
       2   2.127   0.134
       3   2.110   0.122
       4   2.130   0.098
       5   2.082   0.084
       6   2.166   0.058
       7   1.930   0.006
       8   1.877   0.002
       9   1.750   0.001
      10   1.644   0.001
