          S1          S2          D1          D2      angS      angD      angN
  0.1287E+01  0.3783E+01 -0.4652E-05  0.2644E+00     71.21     90.00     80.12
  0.1387E+01  0.3766E+01  0.2261E-01  0.2572E+00     69.78     84.98     79.80
  0.1487E+01  0.3747E+01  0.4406E-01  0.2494E+00     68.35     79.98     78.28
  0.1599E+01  0.3721E+01  0.6458E-01  0.2410E+00     66.74     75.00     75.43
  0.1742E+01  0.3678E+01  0.8443E-01  0.2319E+00     64.66     69.99     71.76
  0.1938E+01  0.3605E+01  0.1034E+00  0.2218E+00     61.75     65.00     68.20
  0.2305E+01  0.3437E+01  0.1211E+00  0.2097E+00     56.16     60.00     63.00
  0.3317E+01  0.2748E+01  0.1381E+00  0.1972E+00     39.64     55.00     45.55
  0.3571E+01  0.2470E+01  0.1535E+00  0.1829E+00     34.67     49.99     37.14
  0.3675E+01  0.2319E+01  0.1668E+00  0.1668E+00     32.26     44.99     32.74
  0.3747E+01  0.2202E+01  0.1788E+00  0.1500E+00     30.44     39.99     30.23
  0.3805E+01  0.2098E+01  0.1896E+00  0.1327E+00     28.88     34.99     28.21
  0.3854E+01  0.2002E+01  0.1996E+00  0.1152E+00     27.45     29.99     26.26
  0.3898E+01  0.1910E+01  0.2089E+00  0.9733E-01     26.10     24.99     24.31
  0.3938E+01  0.1817E+01  0.2174E+00  0.7909E-01     24.77     19.99     22.44
  0.3976E+01  0.1721E+01  0.2254E+00  0.6036E-01     23.41     14.99     20.67
  0.4014E+01  0.1616E+01  0.2326E+00  0.4100E-01     21.94      9.99     18.97
  0.4054E+01  0.1493E+01  0.2390E+00  0.2093E-01     20.21      5.01     17.19
  0.4103E+01  0.1321E+01  0.2437E+00  0.2094E-04     17.84      0.00     14.85
  0.4192E+01  0.9086E+00  0.2432E+00 -0.2127E-01     12.23     -5.00      9.86
  0.4265E+01 -0.2388E+00  0.2322E+00 -0.4094E-01     -3.20    -10.00    -13.94
  0.4096E+01 -0.6764E+00  0.2338E+00 -0.6264E-01     -9.38    -15.00    -30.94
  0.4001E+01 -0.8166E+00  0.2327E+00 -0.8470E-01    -11.54    -20.00    -33.97
  0.3918E+01 -0.9414E+00  0.2295E+00 -0.1069E+00    -13.51    -24.98    -35.67
  0.3831E+01 -0.1054E+01  0.2253E+00 -0.1300E+00    -15.38    -29.98    -40.40
  0.3736E+01 -0.1156E+01  0.2200E+00 -0.1540E+00    -17.20    -34.98    -45.20
  0.3623E+01 -0.1259E+01  0.2137E+00 -0.1793E+00    -19.17    -39.99    -48.92
  0.3474E+01 -0.1381E+01  0.2060E+00 -0.2059E+00    -21.68    -44.99    -51.87
  0.3229E+01 -0.1560E+01  0.1965E+00 -0.2343E+00    -25.79    -50.01    -54.92
  0.2657E+01 -0.1935E+01  0.1845E+00 -0.2635E+00    -36.06    -55.00    -58.70
  0.1589E+01 -0.2552E+01  0.1664E+00 -0.2882E+00    -58.09    -60.00    -60.88
  0.2853E+00 -0.3259E+01  0.1375E+00 -0.2948E+00    -85.00    -65.00    -58.96
 -0.4913E+00 -0.3696E+01  0.1035E+00 -0.2843E+00    -97.57    -70.00    -62.77
 -0.8486E+00 -0.3870E+01  0.7363E-01 -0.2746E+00   -102.37    -74.99    -85.43
 -0.1061E+01 -0.3827E+01  0.4846E-01 -0.2748E+00   -105.50    -80.00   -101.69
 -0.1184E+01 -0.3801E+01  0.2363E-01 -0.2704E+00   -107.30    -85.01   -100.85
 -0.1287E+01 -0.3783E+01  0.4652E-05 -0.2644E+00   -108.79    -90.00    -99.88
 -0.1387E+01 -0.3766E+01 -0.2261E-01 -0.2572E+00   -110.22    -95.02   -100.20
 -0.1487E+01 -0.3747E+01 -0.4406E-01 -0.2494E+00   -111.65   -100.02   -101.72
 -0.1599E+01 -0.3721E+01 -0.6458E-01 -0.2410E+00   -113.26   -105.00   -104.57
 -0.1742E+01 -0.3678E+01 -0.8443E-01 -0.2319E+00   -115.34   -110.01   -108.24
 -0.1938E+01 -0.3605E+01 -0.1034E+00 -0.2218E+00   -118.25   -115.00   -111.80
 -0.2305E+01 -0.3437E+01 -0.1211E+00 -0.2097E+00   -123.84   -120.00   -117.00
 -0.3317E+01 -0.2748E+01 -0.1381E+00 -0.1972E+00   -140.36   -125.00   -134.45
 -0.3571E+01 -0.2470E+01 -0.1535E+00 -0.1829E+00   -145.33   -130.01   -142.86
 -0.3675E+01 -0.2319E+01 -0.1668E+00 -0.1668E+00   -147.74   -135.01   -147.26
 -0.3747E+01 -0.2202E+01 -0.1788E+00 -0.1500E+00   -149.56   -140.01   -149.77
 -0.3805E+01 -0.2098E+01 -0.1896E+00 -0.1327E+00   -151.12   -145.01   -151.79
 -0.3854E+01 -0.2002E+01 -0.1996E+00 -0.1152E+00   -152.55   -150.01   -153.74
 -0.3898E+01 -0.1910E+01 -0.2089E+00 -0.9733E-01   -153.90   -155.01   -155.69
 -0.3938E+01 -0.1817E+01 -0.2174E+00 -0.7909E-01   -155.23   -160.01   -157.56
 -0.3976E+01 -0.1721E+01 -0.2254E+00 -0.6036E-01   -156.59   -165.01   -159.33
 -0.4014E+01 -0.1616E+01 -0.2326E+00 -0.4100E-01   -158.06   -170.01   -161.03
 -0.4054E+01 -0.1493E+01 -0.2390E+00 -0.2093E-01   -159.79   -174.99   -162.81
 -0.4103E+01 -0.1321E+01 -0.2437E+00 -0.2094E-04   -162.16   -180.00   -165.15
 -0.4192E+01 -0.9086E+00 -0.2432E+00  0.2127E-01   -167.77   -185.00   -170.73
 -0.4265E+01  0.2388E+00 -0.2322E+00  0.4094E-01    176.80    170.00    162.00
 -0.4096E+01  0.6764E+00 -0.2338E+00  0.6264E-01    170.62    165.00    149.06
 -0.4001E+01  0.8166E+00 -0.2327E+00  0.8470E-01    168.46    160.00    146.03
 -0.3918E+01  0.9414E+00 -0.2295E+00  0.1069E+00    166.49    155.02    144.33
 -0.3831E+01  0.1054E+01 -0.2253E+00  0.1300E+00    164.62    150.02    139.60
 -0.3736E+01  0.1156E+01 -0.2200E+00  0.1540E+00    162.80    145.02    134.80
 -0.3623E+01  0.1259E+01 -0.2137E+00  0.1793E+00    160.83    140.01    131.08
 -0.3474E+01  0.1381E+01 -0.2060E+00  0.2059E+00    158.32    135.01    128.13
 -0.3229E+01  0.1560E+01 -0.1965E+00  0.2343E+00    154.21    129.99    125.08
 -0.2657E+01  0.1935E+01 -0.1845E+00  0.2635E+00    143.94    125.00    121.30
 -0.1589E+01  0.2552E+01 -0.1664E+00  0.2882E+00    121.91    120.00    119.12
 -0.2853E+00  0.3259E+01 -0.1375E+00  0.2948E+00     95.00    115.00    121.04
  0.4913E+00  0.3696E+01 -0.1035E+00  0.2843E+00     82.43    110.00    117.23
  0.8486E+00  0.3870E+01 -0.7363E-01  0.2746E+00     77.63    105.01     94.57
  0.1061E+01  0.3827E+01 -0.4846E-01  0.2748E+00     74.50    100.00     78.31
  0.1184E+01  0.3801E+01 -0.2363E-01  0.2704E+00     72.70     94.99     79.15
  0.1287E+01  0.3783E+01 -0.4652E-05  0.2644E+00     71.21     90.00     80.12
