 ANGLE     YOUNG     LANKF       D(1,1)    D(2,2)    D(3,3)    D(1,2)       S(1,1)    S(1,2)
   0.0     230.9      0.59       0.8165   -0.3029   -0.5136    0.0000        5.728     0.016     2.266
  10.0     226.5      0.67       0.8165   -0.3283   -0.4882    0.0000        5.667    -0.395     2.252
  20.0     215.0      1.02       0.8165   -0.4117   -0.4048    0.0000        5.474    -0.716     2.190
  30.0     203.0      1.65       0.8165   -0.5081   -0.3084    0.0000        5.221    -0.926     2.068
  40.0     195.4      1.80       0.8165   -0.5250   -0.2915    0.0000        5.145    -0.795     2.031
  50.0     194.9      1.44       0.8165   -0.4820   -0.3345    0.0000        5.231    -0.239     2.081
  60.0     201.3      0.66       0.8165   -0.3255   -0.4910    0.0000        4.831     0.076     1.919
  70.0     212.6      0.34       0.8165   -0.2089   -0.6076    0.0000        4.655     0.148     1.792
  80.0     224.0      0.22       0.8165   -0.1470   -0.6695    0.0000        4.544     0.113     1.705
  90.0     229.1      0.16       0.8165   -0.1124   -0.7041    0.0000        4.494     0.003     1.658
